file	blob	sha256	bytes	relation_to_r20.05c_build_closure
dm_phy.c	50124b4c6381c744eefc241ede3888989b56897e	0bbe1687c0ababa185443a61aedab08037445d4802aaa8b6978f8a8d4f4a272c	7780	byte-identical
dm_phy.h	9f7fcecf67e63fd1279d46a39d092506894b143d	71029539f731a8beb4ebdcac21daa1be3197575759ca6845ef724bab7315d223	1989	byte-identical
dm_conn.h	09b3b29c79a93c6cb3f438767def3a4746aa7aac	870b24846d24eb64d2bbdbe102a8bf8ee7fffbbbadf9c1b6532f0ab81c028040	14490	byte-identical
dm_main.h	2179c64790192dcf3d6f419230bdb9ebc8458d48	f2fb305d0e7bafa505c9696a7452c9e580dd23443305f0c4f2f3865290c96b20	4969	differs; identity-only, not used in verified build
dm_api.h	51a72e5f6b413b42ebbec9bc6e2d7010bedde36f	96c3b98488bdbb31ab7e7a1f1c28a9cfc55d2df106968a14de32bc270abf4ea8	152465	differs; identity-only, not used in verified build
hci_api.h	cf0c57b456f56b19e898ac9f758c8e009c63826c	69430f9b5cee67d466e47c523a3c27cb4986de06002ed0c01868d126135e729d	140768	differs; identity-only, not used in verified build
