profile	function	candidate_text_bytes	status
Os	DmSecEncryptReq	56	standalone
Os	DmSecPairReq	62	standalone
Os	DmSmpEncryptReq	40	standalone
O1	DmSecEncryptReq	52	standalone
O1	DmSecPairReq	50	standalone
O1	DmSmpEncryptReq	36	standalone
