function	linkage	source_line	signature
DmSecEncryptReq	global	107	void DmSecEncryptReq(dmConnId_t connId, uint8_t secLevel, dmSecLtk_t *pLtk)
DmSecPairReq	global	76	void DmSecPairReq(dmConnId_t connId, uint8_t oob, uint8_t auth, uint8_t iKeyDist, uint8_t rKeyDist)
DmSmpEncryptReq	global	46	void DmSmpEncryptReq(dmConnId_t connId, uint8_t secLevel, uint8_t *pKey)
