function	linkage	source_line	signature
DmSecLtkRsp	global	105	void DmSecLtkRsp(dmConnId_t connId, bool_t keyFound, uint8_t secLevel, uint8_t *pKey)
DmSecPairRsp	global	46	void DmSecPairRsp(dmConnId_t connId, uint8_t oob, uint8_t auth, uint8_t iKeyDist, uint8_t rKeyDist)
DmSecSlaveReq	global	77	void DmSecSlaveReq(dmConnId_t connId, uint8_t auth)
