function	start	end	stock_size	stock_sha256	stock_normalized_sha256	evidence
WsfTrace	0x0052A63C	0x0052A672	54	80980ca4a2a21e3a3223b6dae5bb0a5a06d9e754f047cc7ee0a1119e035a71a5	7b7b416bbc5958a521fbc5f9ac49f893324444c246324548dd88188a0f8e9c7e	126 direct BL callers; source-path literal and line 137; exact 1024-byte stack buffer and provider call order
WsfAssert	0x00569A44	0x00569ADE	154	526251ab7ee29a39694834da3f57bb85498c282bde7c017b2841ce97da6f3406	e12a1c9dd10d3e03c924610311303fba8c1864550e98d24fe43f1a6b7af37644	sole direct BL from WsfTrace; complete return boundary; retained wsf_assert.c path and EasyLogger literals; downstream-modified implementation
