release	commit	tree	blob	sha256	bytes	assessment
Packetcraft r20.05c	3656312d6b73e2a2c1c8b33ee0385bc199dd97e6	0a76c7dde46d3b94bb9185a4a5327d0e3f38ec97	746a7c107ac779a296552056c27488d3f94acd21	4bc0ba3452eeab625a763f0597fe6e85e4b0c12c3c47c8368af412cc88480a69	53967	selected exact public source and dependency tree
Packetcraft r20.05-r20.05b	eeb34839 / 5e21ee59 / eb4282c7	multiple	746a7c107ac779a296552056c27488d3f94acd21	4bc0ba3452eeab625a763f0597fe6e85e4b0c12c3c47c8368af412cc88480a69	53967	same source blob across release interval
AmbiqSuite 2.5.1			78581be9386bb175bd224fd5c1a992f58c0bfca1	9daf233988bf0de3f1f851da5a88cdb4461abfe26cd0ac76a78ef339f6445af6	48867	older bundled implementation; identity only
