label	source_path	git_blob	sha256	size	exit_status	duration_ns	function_count	unique_match_count	compiler_anchors_matched	report_sha256
adc	libs/adc/lib_adc.a	2fa36563062f35de071ac2469e7bc2b152637bf6	a56ccf1b754940c81d15520227a82ea25df9332fdae7a3baf1d3742536159777	103882	0	223604023	31	0	True	3bedc8f286471d28fb9fcd54db5dec6138bbbed5b13487c50072b9c6ecb46ce2
aoad	libs/aoad/lib_aoad.a	b31df41c47bdda9ab095d056a3da452b87c7a7bf	e429d2d2ed15699bd5eccef8c6b71153e4bd518d98780e336ab96b227704d682	90178	0	132983045	5	1	True	1dd19b799df30c2fb8d989758ad0fce1f19d811550fcd2bbc7417b7b92e6d96d
dma	libs/dma/lib_dma.a	23a376fd4c524624218935dee3d38688ec542a7a	5e75306ff9f8db04648ae7274201ae2e57242eb8016e96fd3957300e18002fc9	42882	0	174530620	22	0	True	7eeaaa3b4cdbacadf614e0b465b43ea1a9ef4bac2464879246c922a9039c4b03
em_hw_api_di03	libs/em_hw_api/lib_em_hw_api_di03.a	a5464508dffcd0640afc063b2b1de104fb145e0f	01ca9ea4016ea70185a1448c2abd0b9a4628426b15afada0bc8aa83aae418102	293274	0	263127114	51	36	True	db05b01ddbcedd4186000be61ed482fa76c99ba13f5517c62d64246fc3efe022
em_system_di03	libs/em_system/lib_em_system_di03.a	ea9991a66e6df4dd1b4fbcd4051c5739217a76bc	ee2072352dde35173f978de1bd767093b08d7bd5d96873d79eeaa3f5c41f0e61	1499992	0	810390837	95	31	True	ee3c81752dce574a3b6b147578dd81d12add7ae2a3fbb366a5fc8ccfb35c2149
em_system_di04	libs/em_system/lib_em_system_di04.a	e37d4f321d85f5ff6d7bb114a5a795a495168c94	4376c640692341529f004535096c24a8675469e9afb82d65bf4b2ca5e75d2b4e	779866	0	508680222	54	27	True	04d2540c12cd0c0f2321e7bb50d90b06a9f06d1fedd2cf51cccd648a1cc17724
em_system_emcore	libs/em_system/lib_em_system_emcore.a	f0f8354a7eda5458a5138b8756fb46ee3bd2c452	0bed16fb4eb5ac049248faa4fe04410972faeb60518672d308dacdc1c0c13a64	755466	0	491514847	53	26	True	7d622b90c114587c3617eef454d2f2ec2a51c59ec942dfda6806a90fe19b74a3
firmware_update_core	libs/firmware_update_core/lib_firmware_update_core.a	d998e2e7f45b3cced1347aedee29b47dc201062c	c9ed23f0724dc96cedd3d8799504640ffac6ebef4c03cbe01790ede57d9369b3	82874	0	175882878	19	0	True	786cdbcc097f3ac8a9d9700dccf478b14bca12e0236d39bca905d69ebae29a04
firmware_update_crypto	libs/firmware_update_crypto/lib_firmware_update_crypto.a	b35e307f3fd2a15c4bf1b336211d78ce3f6598cf	166729788a8b476fa916701a8cdce1cbedfb7ae55ff59af6d4e3deed91a7eed8	40920	0	144953626	15	0	True	db2927de58aab4100f0e5961d40e05bc360d6ac97969cfd4f300976102429656
gpio	libs/gpio/lib_gpio.a	63ae84faec4eed9a2162fc2de0129985eff57822	bbace208c955431a0e48152e29d4508c9b104a67687930f20fe433d14e43cae3	81004	0	148046602	13	0	True	fe17db0705e8ab1a2a97274aa57efc90dce77238b913c58e31b3945512c24a0b
i2c	libs/i2c/lib_i2c.a	6430cd3003aa02d0833e3bc86528257fddd99ca8	b363e7c87656c5e4244841cfbcbe80301f02d10f83c7754fb5faf32f46cc8233	132626	0	200918629	24	0	True	fedd8f1d124d390798bfc6c551b86c4332fc2800b7aa3b64f7114ace25cf66ad
i2s	libs/i2s/lib_i2s.a	0e3f4e6435f00f41d65cc017f4fcea7b01fdb4d1	deb9591791c89e74acd4a5ad3c92456891856bdcaa8e47ab36ce7248f1dc9c8a	203110	0	313781433	52	0	True	1fbab9ef86534eaa34df2e39602a11619208d5e125a8fbc816dff922e845b631
nvm_op_sched	libs/nvm_operation_scheduler/lib_nvm_op_sched.a	c6bd6d79c2a019315bfb4b12bbacf46a0958f834	3fc472decd87f5cefdfe72bbb332d83a7ae16e1b2490268b1aa9eee41ae75e0e	42250	0	134579844	8	0	True	1b1eb2fec5b257101c4c68dc0a93f56f24b70f828cd2b16ec3f42719bfcde266
pml_di03	libs/pml/lib_pml_di03.a	8637c90e3851846347e6b14135a6779999c570cc	227d3b5395f36802781c0cff3e7a21f641da74579342d7ccfc76a74b18e51570	268172	0	374264407	71	32	True	99f23bae581422185362e6f11ed0afa0fd923a0d6c4f4f9e1582b43400650d4f
qdec	libs/qdec/lib_qdec.a	7cc6e3ecfe7226852d3cc4fe4d8ee633b1865c25	1b26cd3fb91314e63861a9de754f1e14a790f904fe915ad4afd6cd73a7c916d0	91748	0	145925907	9	0	True	ff72bc5f9192466f12ec716ab18e13c201fa3ae411231748608059c7eaa589ec
hw_security	libs/security/lib_hw_security.a	6844fb0d42bd31161257386d895fa0e7a588e9d2	9d443e09236b4f8c23e71ef44e4873019cd64cdd818c3f62ef2cc15d0301aadd	101434	0	209123174	28	0	True	cde0aea5eab1e3e52206ed07a38b8152cfd31f53e8fa31f12367eec111477d89
spi_master	libs/spi_master/lib_spi_master.a	9cf82cb5d4c7cc0716a56ebc472f3240162cfb91	1ba0ac17c614aa8ca3142442fb5d07a76349d1f6525f9b2e95c8933ac7c7be57	122594	0	199438811	25	0	True	a82c16c2e132f7732cccb105a69be5cb6b31068e0a6b6ea3cb4db51980289417
spi_slave	libs/spi_slave/lib_spi_slave.a	a9f54a26987e80888f7fc4eec61bf73e8a6fe383	9a08cb2d4b51a26b301830404d3dc997494c6f319637c03107662b1894c0b84d	128712	0	205045743	27	0	True	e979614ecbd011ff97972967e04cbbe3701cec1880e4d4b2a3822dab5e54f465
spi_slave_dma	libs/spi_slave/lib_spi_slave_dma.a	a04d104428ecf23aa4d5af20f2062f4abbcd6860	38c83993b2d4499979d6924837232d4680052970e3c2d4a2c36b00d7399c7e32	129856	0	203799997	26	0	True	4bdf33cc17c8c9bcac8870e329afa0c503a6fb24fb6705a425a0306d64ee4ef9
temperature_indicator	libs/temperature_indicator/lib_temperature_indicator.a	f0056a98c7b4ace1e35ae2a36bfc16b93f0fb03a	fbeb9e7d1ffa8acf84052bbd3d020fbd14a92de21feabbc7f236de642e68b64c	79186	0	154847402	12	0	True	636b1e2d7c78746fa156347ef1e7ebe0bfc64aa02d965fcc98674bc1e9c5c305
emb_audio	libs/third_party/emb/lib_emb_audio.a	3bc38f0dfb1432e7cf37bce38355a7629597d676	ef755495290c82bfd4121a5199b8286f21dc0f1f5582ae2eb1869509cac87bf2	23528238	0	19159851370	4880	1025	True	c0dba798d2b5f95f36b0090dcbe8eec028c977a1930e9d73d3868af050dc0033
emb_central	libs/third_party/emb/lib_emb_central.a	82b8b52b7022943a109ea6552d1472e986dc4fec	b708d2e88e5f97aef72dd7c02ff75513df2ebf2efa5c46c4fc906345a7d87f84	19281156	0	16008430117	3873	980	True	738705f587d22cf6baf6c8660398abf577b2170cdc9b8a34049b7c1230d977c4
emb_central_advext	libs/third_party/emb/lib_emb_central_advext.a	8310f0172ab547bca046d41722776e4d7c1fb128	03beaeca7f3bdd292a1c97662baf1365d87bde81a5b8b8e74f8112236ebd72e6	19281484	0	15945908852	3873	980	True	ac8ae657a4f9b1a7fd87d5199b084674058c1834d09af725c0a23cd38aa44a8f
emb_controller_iso	libs/third_party/emb/lib_emb_controller_iso.a	b9433012b264da2210f602395b144a6d21795f01	87af23b9b6a582137a02759c4af2344f7160a8b88197dd540ef8268aa55f6cfa	12858814	0	9424775863	2181	1119	True	26b727f717ff948229d6a455378355ece727635d77af20c83dc11ab5b6e57c69
emb_cte_transmitter	libs/third_party/emb/lib_emb_cte_transmitter.a	41229fb23063e46ef56bc2947495ba5c78c4eb6d	9c08f4d8dcc50edb3dcac527d2a68ed2583aa9d7dde2c21970df0006964ea8e5	21293660	0	16951695534	4104	669	True	4c2eaab9184258a5970f6cce2b69da2c0dd643962370a9debe0199a6d66256c1
emb_pawr_advertiser	libs/third_party/emb/lib_emb_pawr_advertiser.a	d0f3b5d37fcc7e5e922afc55d6f6e2e3405cc459	735463e842e64d60e66f63dad1fbfc6fbd210449223d7cc977e02a994643cc5b	20910378	0	16820218856	4063	1041	True	f37bd0932ccf2923d6886a7102824f63fa55dc219d5c4fa4da2d599290faaedb
emb_pawr_synchronizer	libs/third_party/emb/lib_emb_pawr_synchronizer.a	d1693d357ee2ecd82ad6c65baec2a5b59846c2b7	cc2cd3f487286f0633e5a5312aa06ebc4e579fc91fa46e28e00fa08f5502bcac	20911538	0	16811343017	4063	1041	True	7715cc810ba89ef8365216cc4c7808f6d63861f8a7ee8ff6745f4e2c8340eed9
emb_peripheral_advext	libs/third_party/emb/lib_emb_peripheral_advext.a	fa2fb69dd6648975ebc3fcf51021762a20784c15	e67f849a9d3284fc67daa7c1f5feb01cadb1ddb6b6d51a91b98fc8306d428a0c	19281256	0	15937233420	3873	980	True	1b8e913c4e39a9c4f43d1a76e8d8d7d977f6eaf128ea86faa964dff63b0fa96d
emb_peripheral_legacy	libs/third_party/emb/lib_emb_peripheral_legacy.a	75c86e51ebb8feb797a1bab9e37a1175f027a49f	ee8b2cadf4fda03d14b98ccdfc7657ab2eaaf7354676231d29d49b8ba20bc134	13462828	0	11880633194	2952	554	True	dbc0d288c8cd1cc4d3922a85ea765eaa69ceaac3de30033f8edd826e0b88ae8b
