artifact,load_address,bytes,sha256,role,signing_material
firmware/analysis/r1-2.2.6.0009/application.bin,0x00027000,646408,0e788d433ea50fd36edb8f21a9c18b6062211e4a36dbc5bd7695ea5827f3aa1a,OTA application payload,no
firmware/analysis/r1-live-2026-08-10/r1-bootloader-live.bin,0x000f8000,24576,566cd2a50cd173680d314643e498202b364e4f8f8b6fd79b12ca71035e34ab8b,live bootloader flash span,contains public verification key; no private key/signature
firmware/analysis/r1-live-2026-08-10/r1-uicr-live.bin,0x10001000,776,1a6dc7725aa1903ed240dd245ecd036a6c72b244e8b26179affdd0fdde74b150,live UICR snapshot,no
firmware/analysis/r1-live-2026-08-10/r1-approtect-runtime-live.bin,mixed runtime registers,12,fafdd44c03daf5f7ecfa57113ebd319de6fb8f84fa0b7b0c5ac60d09f811fb71,live protection-state words,no
