profile\tsymbol\tsection_bytes
Os\tdmAdvCbInit\t56
Os\tdmAdvInit\t36
Os\tdmAdvGenConnCmpl\t80
Os\tDmAdvConfig\t64
Os\tDmAdvSetData\t76
Os\tDmAdvStart\t88
Os\tDmAdvStop\t64
Os\tDmAdvRemoveAdvSet\t40
Os\tDmAdvClearAdvSets\t36
Os\tDmAdvSetRandAddr\t52
Os\tDmAdvSetInterval\t40
Os\tDmAdvSetChannelMap\t28
Os\tDmAdvSetAddrType\t24
Os\tDmAdvSetAdValue\t140
Os\tDmAdvSetName\t138
O1\tdmAdvCbInit\t56
O1\tdmAdvInit\t36
O1\tdmAdvGenConnCmpl\t84
O1\tDmAdvConfig\t60
O1\tDmAdvSetData\t68
O1\tDmAdvStart\t72
O1\tDmAdvStop\t56
O1\tDmAdvRemoveAdvSet\t36
O1\tDmAdvClearAdvSets\t32
O1\tDmAdvSetRandAddr\t48
O1\tDmAdvSetInterval\t40
O1\tDmAdvSetChannelMap\t28
O1\tDmAdvSetAddrType\t24
O1\tDmAdvSetAdValue\t150
O1\tDmAdvSetName\t146
