metric\tvalue
linked_stock_functions\t9
linked_stock_bytes\t562
source_inventory_functions\t15
source_only_dead_stripped\t6
direct_bl_ingress_sites\t12
provider_seams\t11
compiler_profiles\t2
closure_links_zero_undefined\t2
