item\tvalue
official_image_sha256\t36c5b0e499a68ac2493a497bdab9740fd3e7027730c26a9094eca47268a27863
official_image_load_base\t0x00437FE0
apollo_corpus_manifest_sha256\t3ff8aa908e5841823df9384cfbffca91d657816274797f332a45ff93a8aa832f
apollo_corpus_functions\t7370
ambiqsuite_r2.5.1_archive_sha256\t87b03680c0ac5a5291938e7c522f86146a954d935588f1deb046f35012fe4133
ambiq_dm_adv_c_sha256\t449c64cce932d729ccd165e3dfd8085b9301e5f3b4b0a87b3e4ce0604ca34df5
ambiq_dm_adv_h_sha256\t9a0c9f819650454a3044841cb63bfec6598e3a709426b78db30229b41faf9642
