shard_id	entry	start	end	exit_status	duration_ns
conn_conflict_gap	0x318c1c	0x318c1a	0x318edc	0	17859374407
encryption_refresh_gap	0x315ff4	0x315ff4	0x31636c	0	17701480486
initiate_aux_response_gap	0x320b3c	0x320b3a	0x320d68	0	17708444415
ll_encryption_timeout_gap	0x30e0d4	0x30e0d4	0x30e350	0	17941046637
mst_conn_cleanup_gap	0x31dca0	0x31dc9e	0x31df6c	0	17948532929
mst_conn_dispatch_gap	0x31dfd0	0x31dfce	0x31e84c	0	17760908083
pawr_scan_gap	0x31a5bc	0x31a5bc	0x31a870	0	17790705934
periodic_adv_response_gap	0x32b82c	0x32b82a	0x32bb40	0	17804385683
periodic_scan_response_gap	0x321c30	0x321c30	0x32233c	0	17893729293
periodic_sync_message_gap	0x3263ec	0x3263ec	0x3266d0	0	17937962798
phy_tx_power_gap	0x31b3b8	0x31b3b6	0x31b6cc	0	17718474038
ping_accuracy_gap	0x317c40	0x317c3e	0x317ea4	0	17790452225
post_qk_port_gap	0x302664	0x302664	0x30299c	0	17643759315
slv_conn_dispatch_gap	0x329888	0x329886	0x32a4c0	0	17993079443
slv_enc_phy_update_gap	0x329554	0x329552	0x329844	0	17746251303
voltage_wsf_gap	0x313ce0	0x313cde	0x313f54	0	17866008454
