profile	stub_compile_ns	link_ns	module_object_sha256	stub_object_sha256	closure_elf_sha256	linked_undefined	retained_text	retained_data	retained_bss	entry_address	entry_type
Os	760077353	684346620	9952e75bfafcdee6aa848964254622c29a55da6f7f4783bf05de5c1e0396ccf4	f075c28c9e5a62cec44a56911e8a1244f6339f4ada72ec3030c1966816e11505	72ea4dc68055595a8a3aba66770d920f54739200ef34ac401ff85c4865dcbf22	0	1246	0	5148	00008445	T
O1	732990217	656101724	41f7040b2f5d16c702a10b664699a57c9f98d1706f930b7b2a116b35b4b11190	f075c28c9e5a62cec44a56911e8a1244f6339f4ada72ec3030c1966816e11505	9a6eaccc648313c2b2697da0ef445dbc9e9b68d320c3ba316e404f90f6aa2143	0	1278	0	5148	00008465	T
