# AmbiqSuite 2.5.1 proprietary source is not redistributed; line-span hashes authenticate the inspected official archive.
stock_name	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	ambiq_source_start_line	ambiq_source_end_line	ambiq_source_span_bytes	ambiq_source_span_sha256	ghidra_state	classification
WsfQueueEnq	0x00538C24	0x00538C4A	38	30b8240daf336d4037b57b11a420f9adbddf40659ec964e078e736cbeeca94dd	57	85	550	7b9864114b8a0d6c360ae6e41e1b1b84d8039202eab5927b22d4549db32c34e1	discovered	exact 2.5.1 implementation-family mapping; clean-room candidate present
WsfQueueDeq	0x00538C4A	0x00538C6E	36	b89add9a6f39622dc9277b91669b4978b136cf95d4c09bff5a8f65d02c3a7080	98	128	515	cb3ee78da2f5513c457222eeb3d5b7b1ae786037e19b4a037bc3beb381f6ee3a	discovered	exact 2.5.1 implementation-family mapping; clean-room candidate present
WsfQueuePush	0x00538C6E	0x00538C8C	30	19728a8dcc2b9905325e0994927d36eb35491245cf2646e7b329ffe1b7eb09e5	142	166	465	c15fa6ec4cd788697d990994b593408c68d7843b6b9ea132a8f2ed8c72f6450e	discovered	exact 2.5.1 implementation-family mapping; clean-room candidate present
WsfQueueInsert	0x00538C8C	0x00538CC8	60	1aac6c02a0605d67564caa4d190a532bf4a1ef9c0f6e11c053326d7812fcc112	182	213	678	6c1b336d718cd4ee47840ef4f4ffc0507ab7ecd62009dd035e22868133ac847c	discovered	exact 2.5.1 implementation-family mapping; nested critical sections recreated
WsfQueueRemove	0x00538CC8	0x00538CF6	46	b550d2696c6f4516dd4c4bcb2b3af6c5b79a51092103ddc667cd886042ba5033	229	261	684	7bf1784c6dc72061a2e6b27aeb588fc7c91bb65deddc2207f8a2e59bce29262b	discovered	exact 2.5.1 implementation-family mapping; clean-room candidate present
WsfQueueCount	0x00538CF6	0x00538D16	32	270837f505709362f84fc36cc7da2dbd98046cb7c6b69b6037244885361bb86a	274	299	397	72fff434b401969d3627b456a0f604c318b9deb066febbabc41e4477bd60fadf	discovered	exact 2.5.1 implementation-family mapping; uint16 count recreated
