# G2 Apollo oversized-envelope region classification; regenerated by tools/analyze_g2_boundary_envelopes.py
entry	body_start	body_end_exclusive	span_bytes	accepted_function_code_bytes	interstitial_bytes	region_classes	dominant_interstitial_class	confidence	classified_regions	detail
0x005FA120	0x00442134	0x005FA132	1802238	1322324	479914	accepted-function-code=1322324|alignment-gap=7370|ascii-strings=196|mixed-code-data=8466|pointer-table=83428|rodata-table=11966|thumb-code-candidate=366436|thumb-jump-table=2052	thumb-code-candidate	high	11439	analyzer artifact: 73% of span is accepted-envelope code; 11439 classified regions; entry sits near the end of its own body, which swallows the image head
0x0047CC60	0x0047CC60	0x004D2B9A	352058	264458	87600	accepted-function-code=264458|alignment-gap=1560|ascii-strings=96|pointer-table=18232|rodata-table=1428|thumb-code-candidate=65788|thumb-jump-table=496	thumb-code-candidate	high	2554	analyzer artifact: 75% of span is accepted-envelope code; 2554 classified regions
0x0048949C	0x0048949C	0x004D558E	311538	230772	80766	accepted-function-code=230772|alignment-gap=1426|ascii-strings=78|pointer-table=17140|rodata-table=1014|thumb-code-candidate=60796|thumb-jump-table=312	thumb-code-candidate	high	2375	analyzer artifact: 74% of span is accepted-envelope code; 2375 classified regions
0x00509708	0x00509708	0x0055EA06	348926	262730	86196	accepted-function-code=262730|alignment-gap=1686|pointer-table=14424|rodata-table=2572|thumb-code-candidate=67198|thumb-jump-table=316	thumb-code-candidate	high	2241	analyzer artifact: 75% of span is accepted-envelope code; 2241 classified regions
0x00513E2E	0x00513E2E	0x0052296A	60220	59446	774	accepted-function-code=59446|alignment-gap=156|pointer-table=76|rodata-table=512|thumb-code-candidate=30	rodata-table	low	143	analyzer artifact: 98% of span is accepted-envelope code; 143 classified regions
0x00514F3C	0x00514F3C	0x00563954	322072	238236	83836	accepted-function-code=238236|alignment-gap=1518|mixed-code-data=4284|pointer-table=12344|rodata-table=2796|thumb-code-candidate=62578|thumb-jump-table=316	thumb-code-candidate	high	2019	analyzer artifact: 73% of span is accepted-envelope code; 2019 classified regions
0x00541B74	0x00541B74	0x00585130	275900	179648	96252	accepted-function-code=179648|alignment-gap=1166|mixed-code-data=4284|pointer-table=14836|rodata-table=3120|thumb-code-candidate=72410|thumb-jump-table=436	thumb-code-candidate	high	1586	analyzer artifact: 65% of span is accepted-envelope code; 1586 classified regions
0x0055F994	0x0055F994	0x0058EAC2	192814	135916	56898	accepted-function-code=135916|alignment-gap=766|mixed-code-data=4284|pointer-table=10920|rodata-table=2202|thumb-code-candidate=38394|thumb-jump-table=332	thumb-code-candidate	high	1048	analyzer artifact: 70% of span is accepted-envelope code; 1048 classified regions
