index	name	identity	entry	end_exclusive	size	sha256	path_anchor	direct_entry_callers	stored_pointer_cells
1	page_data_lock	exact retained diagnostic symbol	0x0058A8E0	0x0058A948	104	5c852108c6f18b8e93ee0eb0f86113b628cd1c37b7697717a59584848d8b0952	true	8	0
2	semantic_page_data_unlock	semantic	0x0058A948	0x0058A95C	20	fc4444885dc9e63a5759a33be0450ce53115061b3df4b7cde37c18950079556b	false	19	0
3	teleprompt_preload_timer_ensure_created	exact retained diagnostic symbol	0x0058A95C	0x0058AA12	182	751a4f5b2d595d619b80ebeb835f44dda075dd33bdbb04d19d4a2a52aa990ef3	true	3	0
4	semantic_page_to_slot	semantic	0x0058AA12	0x0058AA1E	12	a32f0803824f4fc5ae18f21ab90447c85010166aa35c7772a677a7d8755782c5	false	8	0
5	semantic_slot_loaded	semantic	0x0058AA1E	0x0058AA4A	44	840f52ff93b6c1ca3ffe0e559fdaf7fb606ce7b60c82fe938d3a31c6804e962c	false	8	0
6	semantic_clamp_window_start	semantic	0x0058AA4A	0x0058AA70	38	7651c2a17b2ba838532e017eec619cacb6e9bb5d42f39f3833d9631b208e42b1	false	2	0
7	request_page_data_locked	exact retained diagnostic symbol	0x0058AA70	0x0058AE28	952	db2ab8e8ee501ab5d4d082c498e6bd2dbce8722e16a0b28718ced908f827ad11	true	3	0
8	teleprompt_request_page_data	exact retained diagnostic symbol	0x0058AE28	0x0058AEE8	192	287c5e5faec66a16e2ff9527e795e10a50e8719245b730e15aefc70478415496	true	1	0
9	semantic_ensure_range	semantic	0x0058AEE8	0x0058AF20	56	74864285220ffe6931f4e91f231c4816fc4f8d21440e4a20bf0f9b4783e31c96	false	4	0
10	semantic_range_ready	semantic	0x0058AF20	0x0058AF4E	46	b45be9c4d5c5ca8fcedf6bc71c10231ee358eab98ce6b5cdb377d20a4e9be72e	false	1	0
11	semantic_loading_timed_out	semantic	0x0058AF4E	0x0058AFA0	82	934d6a009dc03e620033e614d20f823045e3d6158e135d2a795f4c6a8153e328	false	2	0
12	semantic_find_requestable	semantic	0x0058AFA0	0x0058B008	104	7219c949dd7d11e76f359cf4af9e3cfbb0661c7a5349cacac494cb32bb76ff41	false	2	0
13	semantic_find_next_request	semantic	0x0058B008	0x0058B056	78	d9073ce752b8a7af77c01303c10efca721f743627500c841c3926ea4b79ca338	false	1	0
14	teleprompt_preload_timer_callback	exact retained diagnostic symbol; Ghidra-missed entry	0x0058B058	0x0058B1AC	340	a7af06679d50374ecc1bea07dc3d02e749affadc39a17703f085bf768b48999b	false	0	0
15	semantic_preload_timer_stop	semantic	0x0058B1AC	0x0058B1C0	20	68f8cfa1283a562742a18fac1ceca5078215fa61696e69d5e8a3a8e04356e389	false	1	0
16	teleprompt_page_data_init	exact retained diagnostic symbol	0x0058B1C0	0x0058B344	388	d94d9b01a5bf1adf3f670ed9f070daf2afd1087d29726fe59e3a51c3285283c0	true	1	0
17	teleprompt_page_data_deinit	exact retained diagnostic symbol	0x0058B370	0x0058B528	440	824045062b61caf214654a81b0e342a09c414d0eecf615651b9a509770a7757b	true	3	0
18	teleprompt_page_data_update	exact retained diagnostic symbol	0x0058B568	0x0058B82E	710	85b3725ddd715445424f7bcc6f96875416cadc92cc907e99c0211fb3b72651c0	true	1	0
19	teleprompt_page_data_get	exact retained diagnostic symbol	0x0058B83C	0x0058B8EC	176	86b742563ccc371ae4235f307493ef1758f825c813ab1c97093a0831c07f9e59	true	5	0
20	semantic_page_in_ensure_window	semantic	0x0058B8F0	0x0058B952	98	afacf11bf083a5e4074d6d79b6093efb1a510166654997889fd43fb8e6943f7f	false	1	0
21	teleprompt_page_data_set_window	exact retained diagnostic symbol	0x0058B980	0x0058BC06	646	76fee5ccfbb67b62987c914b3d93553b6e99110012f67da277f85f9a0ca3ae56	true	7	0
