kind	stock_start	bytes	sha256	non_null_slots	qualification
1	0x00713F54	60	ff0f90bf3e69e3bb006daa27f2f039068ef1129be2c236c0f22e2e95337f6b0f	15	all fifteen operation slots resolve to in-image first-party watchface functions
2	0x00713FCC	60	bad1417f3b8ae8bb77f3c9c2b22888cb61f03ef588d32d2ba527a41387972033	15	all fifteen operation slots resolve to in-image first-party watchface functions
3	0x00714008	60	fcdb6572afbf343481ee5737a945c1d6a35e3eabd95d573c1e5128030ecf5302	11	eleven implemented slots and four null optional operations
4	0x007140BC	60	19721c57e6515154adef74c044bc91d5fb0024e2917a9900dbbf310f3b8f44df	9	nine implemented slots and six null optional operations
