stock_name	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	candidate_symbol	packetcraft_source_lines	packetcraft_span_sha256	stock_status
WsfMsgDataAlloc	0x004BF990	0x004BF99E	14	980bff91d868be34e37bf2717f4cf8980b3f7e506f8ff3c517e50fcbc5f98af1	open_cfw_cordio_wsf_message_data_allocate_candidate	54-57	89ef4a947c29cb3ecdc0cd4844a7a01b2bf6b9ee4a2e9d428dbedb4fcc68933e	bounded_and_recreated_from_apache_source
WsfMsgAlloc	0x004BF99E	0x004BF9B0	18	d763f42336b5406a51b4cee9fde04d292209b81813fcde9de2e63c235ec68ec5	open_cfw_cordio_wsf_message_allocate_candidate	70-83	973b9969d6f72da61074ac04920ca7af3811ad9cb8d12f4b565240332db15530	bounded_and_recreated_from_apache_source
WsfMsgFree	0x004BF9B0	0x004BF9BA	10	52a3c4e96bd27c58ae08a64f5ecf63cd67877de12306fbeb9245865fe9e2fead	open_cfw_cordio_wsf_message_free_candidate	96-99	ccffbd7d68bc61183874ec19d0473f5dec48bee77d87e6338b63853ec5f2da89	bounded_and_recreated_from_apache_source
WsfMsgSend	0x004BF9BA	0x004BF9DE	36	a568f74c2634f63f8b146dd3f0cbecf09d2caa1300b5877a0ec9cab892ac7c70	open_cfw_cordio_wsf_message_send_candidate	113-122	8591dbdd0c1c499f5b0d1eb7aae1da793379ac514592c7d2cd02a0c817ec9d04	bounded_and_recreated_from_apache_source
WsfMsgEnq	0x004BF9DE	0x004BF9EC	14	a3de2489bab48b9516079809e2e30e12954e4dc76eedd2653812e046a28295ed	open_cfw_cordio_wsf_message_enqueue_candidate	137-150	3e288c89d2c0355da64f80b3b0b803313f741ecd46b461be7cc023985da457be	bounded_and_recreated_from_apache_source
WsfMsgDeq	0x004BF9EC	0x004BFA00	20	a0a7fa1b14bb01ca88fa84046451d92d37a5df0e01effffeb5c3cbe4c87a152d	open_cfw_cordio_wsf_message_dequeue_candidate	164-177	5eceb3403dabe52a3a731f9f60e68688b66f253558cfe0c9fefc15a209d51113	bounded_and_recreated_from_apache_source
WsfMsgPeek	0x004BFA00	0x004BFA0E	14	f2982c0db519136c0fc1793e9118c93b6c485f954f920d2cdbe281dd895b118e	open_cfw_cordio_wsf_message_peek_candidate	191-204	9682b8afddcbd9b1a6e522dcf8fd26db1364aac3f38e64a3ca80246d6bcdb037	bounded_and_recreated_from_apache_source
