function	stock_size	best_abs_delta	best_rows
WsfTrace	54	18	stockabi_1024__O1:72(+18),stockabi_1024__Og:72(+18),stockabi_1024__Og_nosibling:72(+18),stockabi_1024__O2:72(+18),stockabi_1024__O2_noinline:72(+18),stockabi_1024__O3:72(+18),stockabi_1024__O3_noinline:72(+18),stockabi_1024__Os:72(+18),stockabi_1024__Os_noinline:72(+18),stockabi_1024__Os_nosibling:72(+18),stockabi_1024__Oz:72(+18),stockabi_1024__Oz_nosibling:72(+18)
WsfAssert	154	118	stockabi_1024__O0:36(-118)
