stock_start	stock_end_exclusive	stock_sha256	source_path_anchor	qualification
0x004DC5AE	0x004DCA16	3177ed2f6acaf3d13d69d88f69c0e6db95f6826945fe4eae2b42e90ea49fa0ed	yes	image-container constructor and image-state update body
0x004DCA3C	0x004DCBA8	115776f3d4d17261f18ba9a28d80c16ef7b4a456e830815375c27a9c6c4f1382	yes	image-container event/update body
0x004DCC98	0x004DCCD6	d5350fbd49d35dfe806bb2e298b7d4dafa041dddf08ae15ed4a48ff992765c6f	no	CRC helper before common-list object
