source_order	function	r20_lines	r20_body_sha256	stock_status	stock_address
45	l2cCocDataCidCback	2101-2115	8160da9bb8f6654810b9a928b031627a98a327f6843b3c1f08fc11b848732667	dead_stripped	-
46	l2cCocSignalingCback	2128-2211	213b6a9f967d7c1895d6fd2affc9f0645522135add69a806ea904c0a0c1dca43	dead_stripped	-
47	l2cCocCtrlCback	2222-2235	c2dd6e0c105f52d93905af3bc1999ec4869ba2a2ad083a0c2f0b940584b95096	dead_stripped	-
48	l2cCocDmConnCback	2246-2264	c2406dcbcac98d16751a87e7130d80cf6656d8097cee8d5878a624c606434711	dead_stripped	-
49	l2cCocApiDataReq	2275-2326	55fe8989a40b67ded48ab26c22ed64fb4ba014859b9e60a01e95669dec43f067	dead_stripped	-
50	l2cCocApiConnectReq	2337-2350	a86fb5271209b67c2ba9aeb76883dc3a158e2da2208a7da9185cf7ec5aa86d97	dead_stripped	-
51	l2cCocApiDisconnectReq	2361-2375	1e085d035906b12c53b9f528ee66530247c5776234b654261275409fec09707b	dead_stripped	-
52	l2cCocApiEnConnectReq	2386-2399	54d262aefb2ad6712e402ebe5e66343438c6c632e43400eba5ec1cc7bef36ae9	dead_stripped	-
53	l2cCocApiEnReconfigReq	2410-2420	3129c59cb4efb40aa051a8c8ec24415a75418e80b2b8650963f3065f933c303b	dead_stripped	-
54	l2cCocReqTimeout	2431-2442	927bbc60cb7155639b1838d30fc06fcf3e35ae88e1c212862158b2c057413266	dead_stripped	-
55	L2cCocInit	2451-2459	228f3f45c8c949c22b90339bde3935f34f579c25a46fc2827bc0acc6cdab36f1	dead_stripped	-
56	L2cCocHandlerInit	2470-2473	99626d2da178a9fcb1d7281f318a709f814a36d4a55b8e524b65fcc137ba5b2e	dead_stripped	-
57	L2cCocHandler	2485-2525	a29e42d97ed444809baeba221615b3c67752cff672613b90360f3f8c2b7cfa6b	dead_stripped	-
58	L2cCocRegister	2540-2556	9e19587edbca997ea35ecdee3ee32ff860383bd0c1b16bd2242cfdd1872c18f5	dead_stripped	-
59	L2cCocSetAcceptCback	2568-2578	32eedaef38e5b89a4161e9a18718a15cae6c933a04d04b763c3f814916896780	dead_stripped	-
60	L2cCocDeregister	2591-2599	26b0f4559b517ddb790c5c58ce49e80ce7bbfb1803279c31edc42b4c9e47b8e6	dead_stripped	-
61	L2cCocConnectReq	2612-2652	6c1cb25f3dad2a629cf346c9963eaa9ea2c610ac1eff5fd4c16d6c4df2fca864	dead_stripped	-
62	L2cCocDisconnectReq	2663-2675	5f7f804043f673e8df296ac84cffa7309eaf292bccf77afd1239dca582bad154	dead_stripped	-
63	L2cCocDataReq	2688-2720	169ac23344611c90285f1988139d90c6739522e1d78e1078fba34b517d2a3985	dead_stripped	-
64	L2cCocEnhancedConnectReq	2735-2789	95be65a645e431902edf05bfa18a93a426b789b64a26da85c447f6e008ba3391	dead_stripped	-
65	L2cCocEnhancedReconfigReq	2804-2862	c960e82646273bbfaa0f6764cdfeceb9a0dd2d7907a40e0272062200a73ec9cc	dead_stripped	-
66	L2cCocErrorTest	2873-2876	987dbd1842fc950ee2aa6f21e2ec9e68a81e345c766b4ca699bac9d4502f3026	dead_stripped	-
67	L2cCocCreditSendTest	2888-2897	26f8aebd7901fdca3f8675a60e8bb3b636152b75ad6f8f8e64f85973971d9dc6	dead_stripped	-
