pool_id	descriptor_address	requested_length	count	rounded_length	stock_start	stock_end_exclusive	bytes
0	0x200003B0	16	8	16	0x2004FAC8	0x2004FB48	128
1	0x200003B4	32	4	32	0x2004FB48	0x2004FBC8	128
2	0x200003B8	64	10	64	0x2004FBC8	0x2004FE48	640
3	0x200003BC	480	20	480	0x2004FE48	0x200523C8	9600
