config	function	start	end	candidate_size	stock_size	size_delta	raw_match	normalized_match	candidate_sha256	stock_sha256	candidate_normalized_sha256	stock_normalized_sha256
Og	WsfTaskLock	0x0052b8c8	0x0052b8d0	8	8	0	no	no	bcf32a2422f679d984c910bebd3c2a13d9880efa63e60a70a2c5d7bfa5822f3c	4ae68a8cc15e75c482171f6fdd1e56d9bf7a9a787f56a9761e89af9833911f02	de7e4817d86b32d327116a06b269cd1399d6ce33027c5f6da8b7226f066d0cfe	022696e747ab8995c84888fefe1e49b1538690e052ef6bcbb4af6d0c94541069
Og	WsfTaskUnlock	0x0052b8d0	0x0052b8d8	8	8	0	no	no	bcf32a2422f679d984c910bebd3c2a13d9880efa63e60a70a2c5d7bfa5822f3c	19785a8c5eb6c2e10cd274c554a5d7d1b649a94433f558511c02cdb5405397a1	de7e4817d86b32d327116a06b269cd1399d6ce33027c5f6da8b7226f066d0cfe	022696e747ab8995c84888fefe1e49b1538690e052ef6bcbb4af6d0c94541069
Og	WsfSetOsSpecificEvent	0x0052b8d8	0x0052b91e	116	70	46	no	no	e3149d01040992d324e588a97a2b42ee8d3b706121d25d9d85bb6bf200598e95	a7a1285078ac515a4fea7ad18a50ab44ec84ba9f1c39e07df875dfa0f8681465	901b85e585a43e16107fddbcdf3976dd10e41ebd0ee29513eeb9562dbcae4ea6	5bab032b9a03b5da1e125a9f2f46925b105b213fc0e1b627f14929a7e3c1310e
Og	WsfSetEvent	0x0052b91e	0x0052b95e	56	64	-8	no	no	b0225b04becd700fa1a38bcad042f31bce52a498c22fc6ac30c6dbe822257fff	62fda22da8f5aec6255e52e820a4570a593fa4637a710ce93ebfbdca428f7db8	d78fdc6719950793755d0a0fa9b5aef2f650fc206c675d6e11bd6370933b000c	724f5a993959a0c2b9228dcf808ca0727989c8c92002333808523bc1b8e9945d
Og	WsfTaskSetReady	0x0052b95e	0x0052b97c	36	30	6	no	no	bd1c7459c5f7e6bd1839dcab6e81c82940a272a2479d4ea820e7b9a9fac444b4	feaf10178e32248aebd53109fd9c1a95e1d757484102fc7a775203160e257ff7	5f1467d2c3a3fe832802402040161eb9998d379f156caa1dac4125ef615e5e56	0639a0781d3e05d201e72ada9ed84a87c59621cfa0099c68397bebe84ed90129
Og	WsfTaskMsgQueue	0x0052b97c	0x0052b980	8	4	4	no	no	b24a6a06ea56f14b365afa39f17bf619a2ba1f01fd6dcb230a6766808f254129	c38df642688ef2e1df139d8ba9e7854fe109c68c84bfe8e97010f955fa56291b	811975cc17d6492abc70ae177d2d51b6ec28b8ff47b257e62a4b91f912f4d853	df329c59cf0ae884d28a341c86d7f784817e685c5d35445414c5570c45e4ee46
Og	WsfOsSetNextHandler	0x0052b980	0x0052b99e	24	30	-6	no	no	367ccb79195107cab5393b61515398f7b7c44a049a2f767d7a2a3282cda98304	614f7f6c030d12ac7cb0ace224d26318a3089bc47a0d1fc24a17cf51cb7a396b	df6f0b00618d75a3e4419d4266c3f01be899eddad1ec91527f87ea7c6dbfe1d0	6f20c8e8b4cca9a3c57d5215c9a15858808a9905762264a6bd8c8961694d4f02
Og	wsfOsReadyToSleep	0x0052b99e	0x0052b9b2	20	20	0	no	no	37b721ba51ea2522d0cf154cfb3e62c0b47c30d44ec790930c4c0ccf2c47043e	633892695925666e4dc9d7d89588807653985ae2321217b58b5c215bb6ab6ebc	31de7ed6c3bd3bf4192c2b42add91ae21bf395f71abdd7932a8861704177069b	2ee7fe67a3ef343a69cf87889f2316f44515d27ec5c6d70f7c699b49eca4fb5a
Og	WsfOsInit	0x0052b9b2	0x0052b9d0	40	30	10	no	no	da91061bb83a8c941a6c9e8a11f70e2bc721351e07c965b45a6cf13dd6bc6451	f9c905e97f08e91afc84d8c6df9ed24e71e26accbea503f8f423f98e8e8ff6bb	abf9f1e3d07e67de969222567af90ddf7fbde4c211b290328eeca7761efde7af	9a0606e882bde29307699799161a591e273941b5e42466ad9f77c1418086a549
Og	wsfOsDispatcher	0x0052b9d0	0x0052bab8	244	232	12	no	no	cf2943165c65a1c6cc80071dcbb0eedf8f800001a86666b5ec1d2ccb6015bd77	49ba08ce0c35eb58c098babd1ad0e4d68c303c67bf8e2543be552511732474d8	84728e90acbe6b1169cf7a254b9019a159c6714c26ae1240b6fac8999bb3714c	c52f0e9655fc23f90c04e7533369fcb2b5f4ae5dcf6b1d4a95e6a216b5dd0d73
