variant	profile	link_ns	linked_sha256	linked_undefined	retained_text_bytes	retained_data_bytes	retained_bss_bytes	verdict
public_r20.05c	Os	35812225	d1abe79ce975ec48155fc222955569f3db6f2493f0a0c949ebf8bce1e7d59bd9	0	0	0	0	invalid_for_closure_claim_zero_text_retained
public_r20.05c	O1	52779242	b139575aa461e9c12a0878674c9bf1128d20c2f5379df7dd30bc18945d5b0acf	0	0	0	0	invalid_for_closure_claim_zero_text_retained
g2_semantic_hybrid	Os	31363761	3545c61882c1d7575efdb6fa4ffa2452ca76208af8ae3788f68ac7c178073dea	0	1969	0	260	valid_zero_undefined_closure
g2_semantic_hybrid	O1	30473373	1a40f9e5c3e7c116970d05f428ba560eaa78bda1d69f57033f99c5310073aacb	0	2159	0	260	valid_zero_undefined_closure
