stock_start	stock_end_exclusive	stock_bytes	stock_sha256	path_reference_sites	reachable_instructions
0x5f9c8c	0x5f9ce0	84	7437d3da861c192532b05aee0eb29e7a9041afc6d558257c38d9e434ca3e01aa	1	35
0x5f9ce0	0x5f9ec8	488	cca5ec94db188b46f1dd018640fd974a7206f91b9dacb93479189e5e0b6a99fa	6	200
