release	commit	tree	blob	source_sha256	bytes	assessment
r20.05c	3656312d6b73e2a2c1c8b33ee0385bc199dd97e6	0a76c7dde46d3b94bb9185a4a5327d0e3f38ec97	d2da987b2aaa8453f2d27be83d3cc6df18b20a68	c1e285613912103ffc86b78bd699d65efe6586fc30cbcf4120059ec7045a10a2	18482	selected exact public source and dependency tree
r20.05b	eb4282c7abe78dad8fb3984791b9c193fe904052	c8204fcb39847aa6d3cae3ec49772a70f6097765	d2da987b2aaa8453f2d27be83d3cc6df18b20a68	c1e285613912103ffc86b78bd699d65efe6586fc30cbcf4120059ec7045a10a2	18482	same source blob
r20.05a	5e21ee596a80a3dc75ae5ef0938712a6042b2ac3	5001d075e93220d66ae1340208046c0526b0dc3a	d2da987b2aaa8453f2d27be83d3cc6df18b20a68	c1e285613912103ffc86b78bd699d65efe6586fc30cbcf4120059ec7045a10a2	18482	same source blob
r20.05	eeb34839755da1c19cc85b8795cc863483c16ef0	906eb9beaf5e8c3b39ab445f6522f7febeda38b5	d2da987b2aaa8453f2d27be83d3cc6df18b20a68	c1e285613912103ffc86b78bd699d65efe6586fc30cbcf4120059ec7045a10a2	18482	same source blob
AmbiqSuite 2.5.1			604cf245a9393e580670dafbded7b09238d2927c	6d07372cea9f22d670a97745b8eeb11b26259e5f5849bb3d3cf0560c25808cb0	18455	code after first include identical; header-only differences
