release	commit	tree	path	blob	sha256	bytes	assessment
Official AmbiqSuite R4.4.1 via AmbiqAI/neuralSPOT	4264b9309e03064ffad13a0468d5d0c1110c5288		extern/AmbiqSuite/R4.4.1/third_party/cordio/ble-host/sources/stack/dm/dm_conn_master.c	d92f3e7ee4f64b27799337fb421198fda14f55a3	8555ab595045465c0ae6ef018a5af41d9003fd40e942e4b69ef42eb326a02ca0	5337	strongest official candidate; source byte-identical to public baseline
Packetcraft r20.05c	3656312d6b73e2a2c1c8b33ee0385bc199dd97e6	0a76c7dde46d3b94bb9185a4a5327d0e3f38ec97	ble-host/sources/stack/dm/dm_conn_master.c	d92f3e7ee4f64b27799337fb421198fda14f55a3	8555ab595045465c0ae6ef018a5af41d9003fd40e942e4b69ef42eb326a02ca0	5337	authenticated public source and build closure
