variant	symbol	status
archive_notrace	WsfCsEnter	resolved_by_closure_stub
archive_notrace	WsfCsExit	resolved_by_closure_stub
archive_notrace	(none)	linked closure has zero undefined in all 13 profiles
stock_warn_seam	WsfCsEnter	resolved_by_closure_stub
stock_warn_seam	WsfCsExit	resolved_by_closure_stub
stock_warn_seam	open_cfw_wsf_buf_stock_warn1	resolved_by_closure_stub
stock_warn_seam	(none)	linked closure has zero undefined in all 13 profiles
