recovery_order	function	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	ingress
1	productModeDefaultCrcInitialize	0x004ABD90	0x004ABDA4	20	80c08774a0852a8bedd18ee767b2e92898b50212b321c2e4f4de71f0478fc781	stored Thumb pointer 0x006D1E94
2	_nvdbUpdataProdMd	0x004ABDA4	0x004ABE14	112	23aa7a2a4434ae72b8badcf613bb9c3b1fd600474c4576ef03a32f604d089664	stored Thumb pointer 0x0078F520
3	set_product_mode	0x004ABE14	0x004ABE60	76	a46abcbe853a0a2bc1d57aac68a2208a8826dbb41b65d3be4fe6a080ddc60cec	internal BL 0x004ABE6A
4	productModeGet	0x004ABE60	0x004ABE66	6	a34d3198ce3cb5e9f90231d706ea91fd58e8530a91d433dbdf1d173702dc74f2	45 direct BL sites
5	productModeUpdate	0x004ABE66	0x004ABE8C	38	204a4bd3e1dcdbbd9915ebab59b8d960727fce16f8360180de051accab1d14a7	BL 0x0056FD80 and other internal/product calls
6	productModeRead	0x004ABE8C	0x004ABE9E	18	9fe24dc73d40265ac55a643d80fdeb921bcc4a9c651985306822b0cf58ea0cc9	BL 0x0056FD5A
