source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r44_lines	r44_body_sha256	ingress
1	hciTrSendAclData	linked	0x0053013C	0x00530166	42	42771d07bf493172303e4f5689a3c24d635619a5e3f16877f2fdb01944cf8f09	71-90	a77fdcae66a0742e4685b0a747903a5d1d593f7a3a8e1e0239c6ba3c58006329	direct call from hciCoreSendAclData
2	hciTrSendCmd	linked	0x00530166	0x00530186	32	6af7ac234d1fc7bf49f2f6a1bc04f791250b142f248e40f90463ddb2062ef68f	104-119	366f403335a712c5f994cad7de13ff09cb241fa915d39d9a8e3308ab9dce4b7c	direct call from HCI command sender
3	hciTrSerialRxIncoming	linked	0x00530186	0x00530348	450	1de8ef533db6b58237508bdb23fe93a398d296b5cc886098310e9e8399cc18ce	134-292	b6f19d5971324475df89f8bf3e1d93e827aac8004d8e5079a507d728f9b55890	two direct calls from HCI driver receive paths
4	hciTrReceivingPacket	source_only			0		305-309	9b5ff81490d619d7b0bb59bcc967bdaea23d8bf4f7bdda69039f2355f0a5c3f6c	no body caller or pointer
