# G2 charging-case RTOS entries omitted by the original Ghidra map
# reachable instruction bytes are concatenated in address order for sha256
entry	name	role	guard_limit	instructions	instruction_bytes	previously_unmapped_instruction_bytes	instruction_sha256	spans
0x08006e1c	g2_thread_entry_1	thread_entry	0x08007200	344	790	790	5bc749b960d9ff1231136dab10fc0b200ccf96d600b2ff1ba7235fa7d3d206c2	0x08006e1c-0x08007132
0x08007200	g2_thread_entry_3	thread_entry	0x08007f2c	974	2184	432	48b30df1daa0fb53f4ab64f0d953c2a59fdc444c734e2be6dbb5bc34cbd3a61f	0x08007200-0x0800748c,0x0800748e-0x080075e6,0x08007780-0x08007b50,0x08007e10-0x08007ee4
0x08007f2c	g2_thread_entry_2	thread_entry	0x080082ec	269	616	616	fa9446f10a6a07052b075c4f902d65af20799b46d9ec6f79e9dd3c0d1ec2292f	0x08007f2c-0x08008194
0x080082ec	g2_thread_entry_4	thread_entry	0x08008420	93	200	200	70132a07ef998723788b75fbbb74b683d66c0404f611898cff51091a94e47a76	0x080082ec-0x080083b4
0x08009d70	g2_timer_callback_1	timer_callback	0x08009df4	28	66	66	81a7269653585774491fd60647f2638a1b81b20a6e05971ed2166b7ff2abd042	0x08009d70-0x08009db2
0x0800b7ec	g2_timer_callback_4	timer_callback	0x0800ba44	153	342	342	416ba65f58f649e802b918d655413efa75fa03fc7a3127fe330cb2b8e4226bce	0x0800b7ec-0x0800b942
0x0800bb90	g2_timer_callback_5	timer_callback	0x0800be74	170	374	374	593d88b92adcfd73a350e395354d5ccbfdd8d0db10bb81c9d53fe60f882e1b07	0x0800bb90-0x0800bc88,0x0800bc8a-0x0800bd08
