source	commit	tree	blob	sha256	bytes	assessment
Packetcraft r20.05	eeb34839755da1c19cc85b8795cc863483c16ef0	906eb9beaf5e8c3b39ab445f6522f7febeda38b5	ed4f051194b77827ec991f0d5c0c38969ea7548a	1464bff0dbb063ce0e69c5781b73fd7b95656afcd8f710084449298189f2f747	14270	preferred; stock WriteFeatures semantics are r20.05-or-later
AmbiqSuite 2.5.1 bundled Cordio			65fe480443d5b8a2a123c73bcbb80ac967cc0d86	f3273e984187e61b4d732f09a660f27e40782165ece787b812719b3ca2d12eac	14169	older semantic variant; authenticated identity only, source not bundled
