role	family	commit	path	blob	bytes	sha256	license	assessment
historical_oracle	Packetcraft-r19.02/AmbiqSuite-R2.4.2-R2.5.1	86372d84ef0386d8834ed036e613c8f2ded1ff16	ble-host/sources/stack/l2c/l2c_slave.c	eefd50bf304df203cca0a037f852c23b68f597ae	10178	2144a709f25660ee10213eb795b3ef165baa3c707937790e2589df99b3f01c40	Apache-2.0	handle-indexed state and missing connection-ID validation excluded
selected_public_source	Packetcraft-r20.05c	3656312d6b73e2a2c1c8b33ee0385bc199dd97e6	ble-host/sources/stack/l2c/l2c_slave.c	e9a1ff23544bd7e987d53ff7fb6fbfa9b70beef3	10519	2f350e0fd27cdc205736df065099da356b9fa8be6e2ce4df014435cde53cbf73	Apache-2.0	exact DmConnIdByHandle validation and connId-minus-one indexing observed in stock
