stock_name	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	candidate_symbol	ambiq_source_lines	ambiq_span_sha256	stock_status
WsfTrace	0x0052A63C	0x0052A672	54	80980ca4a2a21e3a3223b6dae5bb0a5a06d9e754f047cc7ee0a1119e035a71a5	open_cfw_cordio_wsf_trace_candidate	119-133	24e8b1fa6ae897636d75b198a3ad20c28210f58efa11e9601d4daeb443310dc0	exact_source_family_and_semantics_local_line_drift
WsfAssert	0x00569A44	0x00569ADE	154	526251ab7ee29a39694834da3f57bb85498c282bde7c017b2841ce97da6f3406	open_cfw_cordio_wsf_assert_candidate	37-53	09ad0ef8ae25f8356aa250f87a499c4ac03ae01ae6720849b55eea110d4394fc	downstream_easylogger_extension_behaviorally_recreated
