source_file	source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_r44_lines	r20_r44_body_sha256
smpi_sm.c	1	SmpiInit	linked	0x00537EEC	0x00537F02	22	7eb71ac73b887f3f467c580608b8c3af03112e88c5fdc5f7e84d728deedba664	281-287	aab342562fbab7dab842a544f601a1d70605baec4b94af29817167e1d2340841
smpr_sm.c	1	SmprInit	linked	0x005380DC	0x005380F2	22	d060182d92448285d84c6ce2ec666e2ef5fbbe3f3b4d9cbe74c0d3b0fb0b91bd	308-314	2d25c5ce243a499abf3ec00bbb7201a1167710143256125a4bd511652f006d39
