# G2 Apollo mixed-evidence boundary-role map; regenerated by tools/analyze_g2_boundary_envelopes.py
entry	body_start	body_end_exclusive	envelope_bytes	official_opaque_bytes	seam	boundary_role	confidence	inbound_seed_callers	outbound_call_edges	adaptation_flow
0x00582960	0x00582960	0x005829E0	128	128	first-party|nanopb	g2-nanopb-schema-glue	low	-	first-party:0x00464F76|nanopb:0x004905F4|nanopb:0x00490C32	first-party message code calling nanopb runtime primitives
0x00584C98	0x00584C98	0x00584DB6	286	286	cmsis-freertos|nanopb	g2-nanopb-rtos-glue	medium	first-party=1	cmsis-freertos:0x004490CC|cmsis-freertos:0x004497B6|cmsis-freertos:0x0044981C|cmsis-freertos:0x0044994E|nanopb:0x00491102	RTOS-wrapper-adjacent glue calling nanopb runtime primitives
0x005B873C	0x005B873C	0x005B87B8	124	124	first-party|lvgl	g2-lvgl-ui-adapter	low	-	lvgl:0x0049942E|first-party:0x004FFC32|first-party:0x004FFC90|first-party:0x005B7A4C	first-party UI code calling LVGL vendor-fork services
0x005EA6DA	0x005EA6DA	0x005EA768	142	142	first-party|lvgl	g2-lvgl-ui-adapter	low	-	lvgl:0x0043F4C0|first-party:0x00597324	first-party UI code calling LVGL vendor-fork services
0x005EA768	0x005EA768	0x005EA7DC	116	116	first-party|lvgl	g2-lvgl-ui-adapter	low	-	lvgl:0x0043DED4|lvgl:0x0043DFA4|lvgl:0x0043F09A|lvgl:0x0043F4C0|first-party:0x0059737C	first-party UI code calling LVGL vendor-fork services
0x005EA810	0x005EA810	0x005EA868	88	88	first-party|lvgl	g2-lvgl-ui-adapter	low	-	lvgl:0x0043DED4|first-party:0x00597324	first-party UI code calling LVGL vendor-fork services
0x005EA992	0x005EA992	0x005EA9F6	100	100	first-party|lvgl	g2-lvgl-ui-adapter	low	-	lvgl:0x0043FDDA|first-party:0x00597324	first-party UI code calling LVGL vendor-fork services
0x005EB8DA	0x005EB8DA	0x005EBB96	700	700	first-party|lvgl	g2-lvgl-ui-adapter	low	-	lvgl:0x0043DE82|lvgl:0x0043DED4|lvgl:0x0043DFA4|lvgl:0x0043F4C0|lvgl:0x0043F506|lvgl:0x0044E368|lvgl:0x00498680|lvgl:0x0049942E|lvgl:0x00499678|first-party:0x0059731E|first-party:0x005973DC|first-party:0x005E4F54|first-party:0x005E5484	first-party UI code calling LVGL vendor-fork services
0x005EBBC6	0x005EBBC6	0x005EBC2A	100	100	first-party|lvgl	g2-lvgl-ui-adapter	medium	first-party=1	lvgl:0x0044D7B8|lvgl:0x0044DCA2|first-party:0x005973DC|first-party:0x005E5484	first-party UI code calling LVGL vendor-fork services
0x005EBD0E	0x005EBD0E	0x005EBFAE	672	672	first-party|lvgl	g2-lvgl-ui-adapter	low	-	lvgl:0x0043DE82|lvgl:0x0043DED4|lvgl:0x0043DFA4|lvgl:0x0043F4C0|lvgl:0x0044E368|lvgl:0x0049942E|lvgl:0x00499678|first-party:0x005973DC|first-party:0x005E482A|first-party:0x005E4F54|first-party:0x005E5484	first-party UI code calling LVGL vendor-fork services
0x005EC268	0x005EC268	0x005EC2DE	118	118	first-party|lvgl	g2-lvgl-ui-adapter	medium	first-party=1	lvgl:0x0044D7B8|lvgl:0x0044DCA2|first-party:0x005973DC|first-party:0x005E5484	first-party UI code calling LVGL vendor-fork services
0x005EC770	0x005EC770	0x005EC7CE	94	94	first-party|lvgl	g2-lvgl-ui-adapter	medium	first-party=1	lvgl:0x0044D7B8|lvgl:0x0044DCA2|first-party:0x005973DC|first-party:0x005E5484	first-party UI code calling LVGL vendor-fork services
0x005ECE4C	0x005ECE4C	0x005ECEB2	102	102	first-party|lvgl	g2-lvgl-ui-adapter	low	-	lvgl:0x0043DFA4|lvgl:0x0049942E|first-party:0x005E47FE	first-party UI code calling LVGL vendor-fork services
0x005ECEF6	0x005ECEF6	0x005ED0B4	446	446	first-party|lvgl	g2-lvgl-ui-adapter	medium	first-party=1	lvgl:0x0043DE82|lvgl:0x0043DED4|lvgl:0x0043DFA4|lvgl:0x0043F09A|lvgl:0x0043F4C0|lvgl:0x0044E368|first-party:0x0059732A	first-party UI code calling LVGL vendor-fork services
