index	name	identity	entry	end_exclusive	size	sha256	path_anchor	direct_entry_callers	stored_pointer_cells
38	DRV_IMUWriteCSVHeader	exact retained diagnostic symbol	0x004A5E4C	0x004A5EC2	118	b71fca809a3432e54baaedfffeb6b910be4225a3b2dcfd1ad69dcf24f2579845	true	1	0
39	DRV_IMUWriteCSVDataLine	exact retained diagnostic symbol	0x004A5EF4	0x004A60D0	476	e36b1fc1f96d4e2065fe475accb2c71d91e29e04cbef0d305f76ba0850d54c00	false	1	0
40	DRV_IMUStartRawDataCollection	exact retained diagnostic symbol	0x004A60E8	0x004A625A	370	a8500350aa6c65b61a4afe71ed482a293220e9f40ff28e28fe23182837ed7daf	true	1	0
41	DRV_IMUStopRawDataCollection	exact retained diagnostic symbol	0x004A6270	0x004A6364	244	5daef4a6f3f4162a9eac52cba17d48ac11f439ea1670b388f0c5e8ef70522880	true	3	0
42	DRV_IMUSaveRawDataToCSV	exact retained diagnostic symbol	0x004A6384	0x004A6456	210	c79494efbe0d269cd00ae7f89d488d17fb241984020dadca48750d15850aae03	false	1	0
43	DRV_IMUReadWhoAmI	exact retained diagnostic symbol	0x004A6456	0x004A64C8	114	f53626384cba2f8d1d07921331dbe5d1f4f2461c4a5c9ec94dd9e8706fd07fab	true	1	0
44	DRV_MAGReadWhoAmI	exact retained diagnostic symbol	0x004A64C8	0x004A6538	112	7fc7935f041f0fbe61899ec396f200e724b9554367c226d3170a0eb1e3708b0f	true	1	0
45	semantic_get_state_20074674	semantic; raw Thumb-restored entry	0x004A6538	0x004A653E	6	4b20bcd166d779cdeceb4b2f4e77c8fe47943f579a604de671a7f220575b1ea3	false	1	0
46	semantic_get_state_20074678	semantic; raw Thumb-restored entry	0x004A653E	0x004A6544	6	4b20bcd166d779cdeceb4b2f4e77c8fe47943f579a604de671a7f220575b1ea3	false	2	0
47	semantic_get_state_2007467c	semantic; raw Thumb-restored entry	0x004A6544	0x004A654A	6	01a2b4d7982415e4737676a6feda4f333b88720fdab24ef4eb9c168d761dbada	false	3	0
48	semantic_get_state_20074680	semantic; raw Thumb-restored entry	0x004A654A	0x004A6550	6	01a2b4d7982415e4737676a6feda4f333b88720fdab24ef4eb9c168d761dbada	false	1	0
49	semantic_set_state_20074674	semantic; raw Thumb-restored entry	0x004A6550	0x004A6556	6	30e55b64e6957c39952ea49039be511df1f4751a6687508d1e1d25497a60ac24	false	2	0
50	semantic_set_state_20074678	semantic; raw Thumb-restored entry	0x004A6556	0x004A655C	6	30e55b64e6957c39952ea49039be511df1f4751a6687508d1e1d25497a60ac24	false	2	0
51	semantic_set_state_2007467c	semantic; raw Thumb-restored entry	0x004A655C	0x004A6562	6	0d27cbde83f0ca6d9c0cb667a0a03f9052227364225c1b1a72b7f1cf584f9394	false	2	0
52	semantic_get_flag_20074fdc	semantic; raw Thumb-restored entry	0x004A6562	0x004A6568	6	63114252fa52bf2094c63f7850438b52505684f341ec925f56d0a8cad5bb2eac	false	2	0
53	semantic_set_state_20074680	semantic; raw Thumb-restored entry	0x004A6568	0x004A656E	6	4430233aba487b650a47b77fa1ef7c9e199db092fdd29e60ffaa42876a6132d6	false	2	0
