source	commit	tree	blob	sha256	bytes	assessment
Packetcraft-r20.05	eeb34839755da1c19cc85b8795cc863483c16ef0	906eb9beaf5e8c3b39ab445f6522f7febeda38b5	ebb7e5658db198940c6eaaef85ec9a7fbe4f0936	04bcbca9aed5610cebd55f160b6c6c658cf0fa01afb276c6caaabe37b55bc91a	28391	selected invariant r20.05-r20.05c source family
AmbiqSuite-2.5.1			20961fd7d9cec56a8b8d1e3e165962059275006d	b205d964dc1f2d44d540018ee51932c5cf0efdd846018b5b3ff285277621d808	23744	rejected older r19 implementation family
