key	value
image_base	0x08000000
image_bytes	55752
functions	428
strings	308
string_references	157
decomp_c_sha256	63bfbc4e2a105b19953d825cb29aced1111399315eb33a1edb09200581ae3452
language	ARM:LE:32:Cortex
