# SPDX-License-Identifier: MIT
entry	family	status	license	concrete_source	implemented	instruction_bytes	instruction_sha256	reason
0x0158	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	10	c36ba6f99ebece2e63d3c5e5c6b024253f3c952e6d75e88542103a3e46e33e7d	application behavior or typed pointer/callback ABI remains unestablished
0x0164	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	164	0532c4e562f17ce951bbbf23d2bc295885f0c0dae97463ae2d28df6eecb88d5b	application behavior or typed pointer/callback ABI remains unestablished
0x05E0	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	86	4f0dd0098f258592123cdb89a2ccda97f650c40d37b97a7b732d71f5d82cc0fd	application behavior or typed pointer/callback ABI remains unestablished
0x09B4	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	494	afb8cc9dc05f7e2578341aa09459d0919ac527a7954ba84158c7145c33f18c66	application behavior or typed pointer/callback ABI remains unestablished
0x12A6	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	4	1262b54900d7c03b982e9985409063fac8226d831429b16fcf3d3f95e0f88802	application behavior or typed pointer/callback ABI remains unestablished
0x141C	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	16	88ecb1cfa051967f0c30929aec666a5817e96cb58bbaed7d5350568cbadc36eb	application behavior or typed pointer/callback ABI remains unestablished
0x1DE4	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	158	efc38f387b233e961fbc29d428753ef92daa825d4931a874cbfcd1efca00ddd1	application behavior or typed pointer/callback ABI remains unestablished
0x1FBC	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	172	60630aa77f2a5393849f27fb99396c5c4687f36858595a340b961cf4fd12a61a	application behavior or typed pointer/callback ABI remains unestablished
0x2078	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	416	dfc3da246895037a679dc49949704176471561e4071d350a47e5494a0fd9d0f4	application behavior or typed pointer/callback ABI remains unestablished
0x4B44	system_handoff_mixed	typed_external_system_handoff_boundary	LicenseRef-Unresolved	false	false	30	20c9accd7d921966473072090de14214d3895534c01bf3582599a042c1945563	system handoff ABI remains unavailable
0x4C08	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	96	4d7cce66f8a0cdcc41f454fd23cadbb17ba7310de9e474fd99a1c7b14c614cbf	vendor provider body remains EULA-isolated
0x4F00	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	30	564c428a19438282db3016f394c15413886c514ff3cef2c0d5f8f6880e5e50e4	vendor provider body remains EULA-isolated
0x4F20	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	104	d415dbf85ae3aebab41a9368c141aab402e7115e1e6203b19d51dee4163ba7e5	vendor provider body remains EULA-isolated
0x4F8C	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	84	e5a456e084b11a726daa13bbe2ad37278b68db5e8ce7c814e8e69787be2f7b40	vendor provider body remains EULA-isolated
0x4FE0	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	620	10dc591b37adac5c114142464a4ad4324af575b483f655ca6cb66ac0503c7ec7	vendor provider body remains EULA-isolated
0x560C	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	124	6d39489b305efe864fc96ee452457917207990fd74c4f86aaa874204fde1ed12	vendor provider body remains EULA-isolated
0x568C	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	168	6f8973b6e856d54bda4d0d5b5bec1aed8368285eb4fef5f3db0ff5731e386f51	vendor provider body remains EULA-isolated
0x5738	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	60	504daff111be81fea96f9b6b092fd3bfc6119d00f1e4d86b5057b141ae870caf	vendor provider body remains EULA-isolated
0x5778	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	48	9a0a43f33cea65ee6728b819eba0b05f4add27dff5099727d50e87eaf7ea3f64	vendor provider body remains EULA-isolated
0x57E0	emeeprom_eula	typed_external_eula_provider_boundary	LicenseRef-Infineon-EULA	false	false	272	c6ea5b3d14b8da0f22e832ffdac65d08c2049cdde62d014bf70b07214e5c6c7f	vendor provider body remains EULA-isolated
0x7038	legacy_halt	typed_external_system_provider_unavailable	LicenseRef-Upstream-Body-Unavailable	false	false	2	575fc8fa9e92ffe7d57a6aef6f1168f39da04f07d6bcd5b5e17883bff7b33165	authentic upstream provider body unavailable; injected halt provider required
