symbol	provider
AttcFindByTypeValueReq	ATT client request API
AttcFindInfoReq	ATT client request API
AttcReadByTypeReq	ATT client request API
AttcReadReq	ATT client request API
AttcWriteReq	ATT client request API
WsfTrace	WSF trace provider
attChUuid	ATT characteristic UUID constant
attIncUuid	ATT include UUID constant
attUuidCmp16to128	ATT UUID utility
memcmp	freestanding C runtime or SDK provider
memset	freestanding C runtime or SDK provider
