stock_name	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_start_line	r20_end_line	r20_span_bytes	r20_span_sha256	direct_bl_callers	classification
dmConnSmExecute	0x00533EF4	0x00534532	1598	ea6b9b7e93733482471e6bbad05ac3096b859f3cf6293c19e97fe496bb0185fb	131	162	786	60a3280fa11e308862e140f42a5d1b8c5ff9a70d9cbac255fb5cbbc7e71079a3	0x004B689E,0x004B690E	linked r20 table semantics plus vendor diagnostics and action-set bounds validation
dmConnStateTbl	0x006ECC58	0x006ECCA8	80	cc9cd86fde8eb6a514c7fa4451aea535db9616af7dd6615c5cbee3827584254a	50	112	4671	ca96312b395f1f4e9cfc263792dc9f7115b309d2408a1b1aa9553f6dc5a9b0d5	0x00534554	exact linked r20 five-state/eight-event table
