file	r4_commit	r4_blob	bytes	sha256	function_count	mandatory_alloc_calls	stock_status	function_names
hci_cmd_ae.c	4264b9309e03064ffad13a0468d5d0c1110c5288	60efed943d278fd8ab78dea32be9bb94a6d60cff	22701	9e4dfe58a14c9a0236702c8b043c8a47f9f8dec84a2414e12872b22b470532c6	25	25	source_only	HciLeSetAdvSetRandAddrCmd;HciLeSetExtAdvParamCmd;HciLeSetExtAdvDataCmd;HciLeSetExtScanRespDataCmd;HciLeSetExtAdvEnableCmd;HciLeReadMaxAdvDataLen;HciLeReadNumSupAdvSets;HciLeRemoveAdvSet;HciLeClearAdvSets;HciLeSetPerAdvParamCmd;HciLeSetPerAdvDataCmd;HciLeSetPerAdvEnableCmd;HciLeSetExtScanParamCmd;HciLeExtScanEnableCmd;HciLeExtCreateConnCmd;HciLePerAdvCreateSyncCmd;HciLePerAdvCreateSyncCancelCmd;HciLePerAdvTerminateSyncCmd;HciLeAddDeviceToPerAdvListCmd;HciLeRemoveDeviceFromPerAdvListCmd;HciLeClearPerAdvListCmd;HciLeReadPerAdvListSizeCmd;HciLeReadTxPower;HciLeReadRfPathComp;HciLeWriteRfPathComp
hci_cmd_bis.c	4264b9309e03064ffad13a0468d5d0c1110c5288	485f8cdec92d6115fdb7eee0f41ce20e8fee0840	4662	b8e57845a0e2d571c24687aebf7b7ae24b758e3a1381b7f5beb0a2d48c0535c7	4	4	source_only	HciLeCreateBigCmd;HciTerminateBigCmd;HciLeBigCreateSyncCmd;HciLeBigTerminateSync
hci_cmd_cis.c	4264b9309e03064ffad13a0468d5d0c1110c5288	e6ca74337df58b75b61468e6c77656f015a1e30e	5462	2bc8db926bbf35d15d3260296344daefff9b378e7fae9d21911f0b6d96cbab63	5	5	source_only	HciLeSetCigParamsCmd;HciLeCreateCisCmd;HciLeRemoveCigCmd;HciLeAcceptCisReqCmd;HciLeRejectCisReqCmd
hci_cmd_cte.c	4264b9309e03064ffad13a0468d5d0c1110c5288	063d311dd4a74d0e4fc2fe1ee0393ce6042c6b54	9864	2b8b30905c5c156e24fc8a37ad74a968fac2d0071d331859898e2dc1a83eefbd	8	8	source_only	HciLeSetConnCteRxParamsCmd;HciLeSetConnCteTxParamsCmd;HciLeConnCteReqEnableCmd;HciLeConnCteRspEnableCmd;HciLeReadAntennaInfoCmd;HciLeSetConnectionlessCteTxParamsCmd;HciLeConnectionlessCteTxEnableCmd;HciLeSetConlessIQSampleEnCmd
hci_cmd_iso.c	4264b9309e03064ffad13a0468d5d0c1110c5288	320931763b29c13de29e6744a580c6f46775c7a5	8968	88971b9b328b477806ea82ab07a941bc05b3dfe10c91139b4057c1a12c4f148e	10	10	source_only	HciLeIsoTxTest;HciLeIsoRxTest;HciLeIsoReadTestCounters;HciLeIsoTestEnd;HciLeSetupIsoDataPathCmd;HciLeRemoveIsoDataPathCmd;HciConfigDataPathCmd;HciReadLocalSupCodecsCmd;HciReadLocalSupCodecCapCmd;HciReadLocalSupControllerDlyCmd
hci_cmd_past.c	4264b9309e03064ffad13a0468d5d0c1110c5288	a2da0214d9c342c80167a6dbd4e7c8c67daa44f2	6238	5f73618971b48a42f68f2bcbf877d5deb3c9aaade0322197786f1040a9b4c5a4	5	5	source_only	HciLeSetPerAdvRcvEnableCmd;HciLePerAdvSyncTrsfCmd;HciLePerAdvSetInfoTrsfCmd;HciLeSetPerAdvSyncTrsfParamsCmd;HciLeSetDefaultPerAdvSyncTrsfParamsCmd
