source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	direct_bl_callers	r20_r44_lines	r20_r44_body_sha256
1	attsUuidCmp	linked	0x0056C550	0x0056C5AA	90	4a1581656b586e2110bf6d5209430cee8b45da2b9b8744076c8a2618cdf132f6	0x0056D9D4,0x0056DA78,0x0056DA86	48-66	6b33880e4e73d3db82d4c2a0eadb35040aabf8fc0fe4bf3392fc6ff19000808c
2	attsUuid16Cmp	linked	0x0056C5AA	0x0056C5D4	42	fbafb92e3a0cc0c9864db1b91bc96a3725786fa88dc03cff2fd0d4e34199d392	0x0056E2F0	79-89	b252851dd2b84383dd7ba347e0928b89c1d834d094e09e0f20ad30228176f71d
3	attsFindByHandle	linked	0x0056C5D4	0x0056C610	60	1708a4ab8f907b5d6f543d7471699c9a3b58042473de5b79e265410a0db0a918	0x00533DEC,0x00534E6A,0x005353FE,0x0056CAD0,0x0056CC44,0x0056DAD2,0x0056E15C,0x005A5DA6,0x005A5E60,0x005A5FF6,0x005A61A8	101-119	f7b9decc4522136b3bdabcbd33889d22c37e2ac1ce69878c6a19728464dc3f7c
4	attsFindInRange	linked	0x0056C610	0x0056C66A	90	d76fb110208dc52d9898f09d1b5a754a91f986004025916eaccea73268fda9c4	0x0056C9AC	132-157	2b4ee774db8f6de33a09130cc26ee30b05912ae68a154d27cc2dcf1cfaa6aed5
5	attsPermissions	linked	0x0056C66A	0x0056C6FC	146	8fa28e28a1aa4851a470d4dc2c074195923b416bbe77015536bb22d1202da8a4	0x0056CAE6,0x0056CC5C,0x0056DAEC,0x0056DE5A,0x0056E02C,0x0056E17A,0x0056E33A,0x0056E426,0x005A5E7A,0x005A6014	171-225	f9445459498b68cc4d733f0045ec25c592074e2b3e6e0b3cf201683d9778000b
6	attsProcMtuReq	linked	0x0056C6FC	0x0056C924	552	04dad7963212e23ac2c53c1022a90f7f92cab9197ff11f35d954d59fd70de9ec		238-285	fd75a7679abcc60ee2a4c01895bec73ef4edfe31abef92ea3650a6ee0d9dfefe
7	attsProcFindInfoReq	linked	0x0056C930	0x0056CAA8	376	708c4978b46cb6fa1610a57d74cc2f60789524b042ca3abef0a4a7f699cd48df		298-409	4b34ab9a6e642a86b83a3e708f98770139cf0ab9f68077968fcc47e242788ff8
8	attsProcReadReq	linked	0x0056CAA8	0x0056CBCA	290	1fe43670e121bab302479d1bbf9d19eba1e62def23410bb24e3a5a4a0a47e1d6		422-485	71dc14d274f70c19e7dfd683d6fcf5b17972ddc37c8e6488eee887ea43ba3b45
9	attsProcReadMultiVarReq	linked	0x0056CBCA	0x0056CD96	460	23dc0b8b8ce31f7d597b652a0021f9a279968dc769926c6940e51ac64d61e0d9		498-589	7996d2b4f8060cd16b45a43c01033a79eef7c0fd92cda83bef13ea5a95116c97
