stock_name	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	candidate_symbol	upstream_source_lines	upstream_span_sha256	stock_status
WsfBufInit	0x00530364	0x00530446	226	a12554f557b86906d3442ef2ba4a69d33c433d5e226d5976c1b1767140fc5605	open_cfw_cordio_wsf_buffer_init_candidate	130-222	074cbebf99ac63c7c823aafb6a1237f34ace47769b90062e84193858f1afdc73	bounded_and_behaviorally_recreated
WsfBufAlloc	0x00530446	0x005304D4	142	307ff7ddc2830031087eff4c703949a9974deb2e81efe9cd4334b06c35d57d48	open_cfw_cordio_wsf_buffer_allocate_candidate	235-327	837884ff023d12928fb1898f494e4e89ee302a259e20a16f6c9baaaa650c93a5	bounded_and_behaviorally_recreated
WsfBufFree	0x005304D4	0x00530512	62	6148f827458d86f257dc4ac8eab53f4eeb9372912249d1181fc835861b5a058f	open_cfw_cordio_wsf_buffer_free_candidate	340-391	50d6cb1b973e6d1d7a5d42c301be8d6e07d9b46543f93fc81b90612e1822d951	bounded_and_behaviorally_recreated
