source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_r44_lines	r20_r44_body_sha256
1	dmPhyHciHandler	linked	0x004C5734	0x004C5774	64	9e40baefe98da28f8e0cc417551867ff9eeaa2337bc91bad9287486bb920d82c	63-90	b4c0efda0861848f30faa0ba704f448c2846ec414f2ebb0b426f0e01a110a226
2	dmPhyActPhyRead	linked	0x004C5774	0x004C57AE	58	d4276c9deab89d4a0f0a00a0a3a055d3c8abbbcafb2f28c5a01a1f89961ba5af	102-115	9f42ef715017ab1baa887be68906840b1847f7b739953da38d9003d9ed944c1f
3	dmPhyActDefPhySet	linked	0x004C57AE	0x004C57D6	40	b71ff76b3d1ac7de8e9fd4b43f2d9e322eb52a8364b59f6d97f2169140d15bd9	126-135	8178d46f7dc4fc6a67b84b7d107492af8daedbabe18b25893d8697bb8e7db55d
4	dmPhyActPhyUpdate	linked	0x004C57D6	0x004C5810	58	d96ccb215e22511198a90d8832be644907fac11d1bc86185b5399f30e49d2dde	147-160	c3e13e0b13a8a9159ddd02d5866fe78c79e52a65bc1837a5afbba4f78508b260
5	DmReadPhy	source_only			0		171-185	703a3bd71af4d625bf49c5828b8ac8aa77350ed6d279ce501ab98c9f8fbfa6f6
6	DmSetDefaultPhy	source_only			0		199-202	5434dfb389f13214ae85368bf5a98980637279445a57c821d8a781ea8b114921
7	DmSetPhy	linked	0x004C5810	0x004C584A	58	b385682ac5aa3d223d606c005d9e17884ab882250d3628476b46eefaf0bf631f	217-231	992a154ee73b5ea7c908a8c21083b096a58bce0874454a0416d795ca95ea7d0f
8	DmPhyInit	linked	0x004C584A	0x004C5868	30	bc066ea467f1886fceb6ff6a2dd6db47e40bf38fc90827b128debfe5efc82197	240-249	33e7404b9a12451cc22b641da6b55dba277bbecf67824d0a84b5f17a3a73c9cd
