function	stock_size	best_abs_delta	best_rows
WsfBufInit	226	10	archive_notrace__O1:236(+10),archive_notrace__O3:216(-10),archive_notrace__O3_noinline:216(-10),stock_warn_seam__O1:236(+10),stock_warn_seam__O3:216(-10),stock_warn_seam__O3_noinline:216(-10)
WsfBufAlloc	142	10	stock_warn_seam__O2:132(-10),stock_warn_seam__O2_noinline:132(-10),stock_warn_seam__O3:132(-10),stock_warn_seam__O3_noinline:132(-10)
WsfBufFree	62	2	archive_notrace__Os_nosibling:64(+2),archive_notrace__Oz_nosibling:64(+2),stock_warn_seam__Os_nosibling:64(+2),stock_warn_seam__Oz_nosibling:64(+2)
