# schema=openCFW-lorelei-cordio-wsf-current11-matrix-v2
# source_sha256=def199a7179981092894a10627a243c121c7cf221fd35b6ecd9423e1cf600223
# header_sha256=ec4b58fca5019c11aea47a56b5c0ad02313112d9289862cc2bf0af145796b2f3
# prior_source_sha256=4076f5927ca748ca1215bbd3d409d2799b34e16d820abd874a9c30f95747d791
# container_tag=opencfw-arm-gcc:13.2-rel1
# container_id=sha256:4bf18d22a8e9e1dffa4c21ea1ba44decf7a88a4a2e9c766e47c523f4bef26db0
# compiler=arm-none-eabi-gcc 13.2.1 20231009 package 15:13.2.rel1-2
# matrix_elapsed_ns=2448108512
config	function	stock_start	stock_end	candidate_symbol	candidate_size	stock_size	size_delta	raw_match	normalized_match	candidate_sha256	normalized_sha256	compile_ns	link_ns	module_object_sha256	linked_elf_sha256	module_object_identical_to_prior	linked_elf_identical_to_prior
O1	wsfTimerRemove	0x0052a3fc	0x0052a424	open_cfw_cordio_wsf_timer_remove_candidate	48	40	8	no	no	8c4a81885ebebb463e88d7df245257334e56bf938848958965bdecfce3ba3cbe	b9ad5303d7ab0bf5cb7780a08f62bee2809d61cc0a526b1f8e0c3b0a88cec926	67814022	13428297	161db8b14ff0c07ae91c5eeb189ec9f25eed35869de1c850748d1207597a8c9e	3062beabf23e45014b329446fc4dc2552efbf7affd98314231326aa058bac09e	yes	yes
O1	wsfTimerInsert	0x0052a424	0x0052a468	open_cfw_cordio_wsf_timer_insert_candidate	72	68	4	no	no	a5becea64a4062ee0e95e28e8270bfb2e83e90ea164c1e059e87f271f74301e0	780f91a771bc71be84d6c32b012ee7a4f40b7a482bf5f1b346c04eab1ea24186	67814022	13428297	161db8b14ff0c07ae91c5eeb189ec9f25eed35869de1c850748d1207597a8c9e	3062beabf23e45014b329446fc4dc2552efbf7affd98314231326aa058bac09e	yes	yes
O1	WsfTimer_handler	0x0052a468	0x0052a474	open_cfw_cordio_wsf_timer_callback_candidate	12	12	0	no	no	13d4ae6dcb343bee0d867f159133f1bad64ecfa2851a11e90293c8ae6537b06e	c05edc9a70dd097b7813f3c180da301ee54ff9ab10498f27d519624444421a82	67814022	13428297	161db8b14ff0c07ae91c5eeb189ec9f25eed35869de1c850748d1207597a8c9e	3062beabf23e45014b329446fc4dc2552efbf7affd98314231326aa058bac09e	yes	yes
O1	WsfTimerInit	0x0052a474	0x0052a4b8	open_cfw_cordio_wsf_timer_init_candidate	80	68	12	no	no	eb6cfb098951ae75363faaae32e0491c247d7bc50a08926b09fc32f059b7ae49	9d2ab95ab47374752a5e7c2469095da904905afe52fa262162bc4b431d37e4f2	67814022	13428297	161db8b14ff0c07ae91c5eeb189ec9f25eed35869de1c850748d1207597a8c9e	3062beabf23e45014b329446fc4dc2552efbf7affd98314231326aa058bac09e	yes	yes
O1	WsfTimerStartSec	0x0052a4b8	0x0052a4c4	open_cfw_cordio_wsf_timer_start_sec_candidate	14	12	2	no	no	c5e55659783dea8dea1b73b5671fc690f2b750ceb0d52b1148653e79e1a82c25	1eb850231c811eb2229f3782c6f89cf060ff8834de6e624cc20c8bb701ebbca4	67814022	13428297	161db8b14ff0c07ae91c5eeb189ec9f25eed35869de1c850748d1207597a8c9e	3062beabf23e45014b329446fc4dc2552efbf7affd98314231326aa058bac09e	yes	yes
O1	WsfTimerStartMs	0x0052a4c4	0x0052a4d2	open_cfw_cordio_wsf_timer_start_ms_candidate	20	14	6	no	no	eab7daa1ea3e439262893dfc6fe758fa731011822b84b9cefbe4207d99e024e3	073fab2c26386e04a156b3b0fac99ff6b7340a152d91fa8f633d712bc4e7b7d4	67814022	13428297	161db8b14ff0c07ae91c5eeb189ec9f25eed35869de1c850748d1207597a8c9e	3062beabf23e45014b329446fc4dc2552efbf7affd98314231326aa058bac09e	yes	yes
O1	WsfTimerStop	0x0052a4d2	0x0052a4e6	open_cfw_cordio_wsf_timer_stop_candidate	20	20	0	no	no	0b070afa03f10c08ebc73fe14c780a30dd21cfdf6888b6063cd535389a331f8a	bf6cdd76830120910fd3046b8588b3915947f7f500de46a352816ca91bd015ff	67814022	13428297	161db8b14ff0c07ae91c5eeb189ec9f25eed35869de1c850748d1207597a8c9e	3062beabf23e45014b329446fc4dc2552efbf7affd98314231326aa058bac09e	yes	yes
O1	WsfTimerUpdate	0x0052a4e6	0x0052a51a	open_cfw_cordio_wsf_timer_update_candidate	56	52	4	no	no	0b24beaf58d36cb539e2ec42d6ede6203593252fbfb91362080bd17b303e0e9f	01324cefb77473ff9cbe0a5caa0fcd1f54be5f1d63bb0a0146388392d480d7fd	67814022	13428297	161db8b14ff0c07ae91c5eeb189ec9f25eed35869de1c850748d1207597a8c9e	3062beabf23e45014b329446fc4dc2552efbf7affd98314231326aa058bac09e	yes	yes
O1	WsfTimerNextExpiration	0x0052a51a	0x0052a542	open_cfw_cordio_wsf_timer_next_expiration_candidate	40	40	0	no	no	b8d2a4a138c95586319bd570cc5f5da7af9efac69146fb918ab37bce1bead6b4	a01e89fb17156e75c7d491fe11b9a228914be11b58e5b1c03180905e8ce9d1e2	67814022	13428297	161db8b14ff0c07ae91c5eeb189ec9f25eed35869de1c850748d1207597a8c9e	3062beabf23e45014b329446fc4dc2552efbf7affd98314231326aa058bac09e	yes	yes
O1	WsfTimerServiceExpired	0x0052a542	0x0052a574	open_cfw_cordio_wsf_timer_service_expired_candidate	52	50	2	no	no	2ae8d2b6ddc721452e1d1408dcecfb3aae3904aa359650c376f415385507c571	b9027368a871f2bec0f9767127c8e341fd89ffcff28e113fc9dcd00ecd5d7876	67814022	13428297	161db8b14ff0c07ae91c5eeb189ec9f25eed35869de1c850748d1207597a8c9e	3062beabf23e45014b329446fc4dc2552efbf7affd98314231326aa058bac09e	yes	yes
O1	WsfTimerUpdateTicks	0x0052a574	0x0052a614	open_cfw_cordio_wsf_timer_update_ticks_candidate	116	160	-44	no	no	71e2cc56e1b724e5da4192582505a24fbc6c572020372131eedcd1c2a7c91c75	9ef3d7a2d6e0b341ff5d5dadeaa2e435cae42edfa127297d81e955a689c80abf	67814022	13428297	161db8b14ff0c07ae91c5eeb189ec9f25eed35869de1c850748d1207597a8c9e	3062beabf23e45014b329446fc4dc2552efbf7affd98314231326aa058bac09e	yes	yes
Og	wsfTimerRemove	0x0052a3fc	0x0052a424	open_cfw_cordio_wsf_timer_remove_candidate	44	40	4	no	no	191a4aaed653e58b27e92f6d63ada1caf5e177d45a01d3b4fb2755360bf66e5b	90316a049dda73454d71b254df8d7abd6c4b1fa210e0e30f0aa2fffcdea5ffa2	59145652	14993466	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og	wsfTimerInsert	0x0052a424	0x0052a468	open_cfw_cordio_wsf_timer_insert_candidate	68	68	0	no	no	85fd2b1d36c6f604f3613c9221ae6dfea6336a440609ee0ce5b987c30b562829	4bd8ef903d2fae966e75aa781d49e1d7433c8fe46472c423fc48b00e6feb2167	59145652	14993466	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og	WsfTimer_handler	0x0052a468	0x0052a474	open_cfw_cordio_wsf_timer_callback_candidate	12	12	0	no	no	13d4ae6dcb343bee0d867f159133f1bad64ecfa2851a11e90293c8ae6537b06e	c05edc9a70dd097b7813f3c180da301ee54ff9ab10498f27d519624444421a82	59145652	14993466	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og	WsfTimerInit	0x0052a474	0x0052a4b8	open_cfw_cordio_wsf_timer_init_candidate	80	68	12	no	no	eb6cfb098951ae75363faaae32e0491c247d7bc50a08926b09fc32f059b7ae49	9d2ab95ab47374752a5e7c2469095da904905afe52fa262162bc4b431d37e4f2	59145652	14993466	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og	WsfTimerStartSec	0x0052a4b8	0x0052a4c4	open_cfw_cordio_wsf_timer_start_sec_candidate	14	12	2	no	no	c5e55659783dea8dea1b73b5671fc690f2b750ceb0d52b1148653e79e1a82c25	1eb850231c811eb2229f3782c6f89cf060ff8834de6e624cc20c8bb701ebbca4	59145652	14993466	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og	WsfTimerStartMs	0x0052a4c4	0x0052a4d2	open_cfw_cordio_wsf_timer_start_ms_candidate	20	14	6	no	no	eab7daa1ea3e439262893dfc6fe758fa731011822b84b9cefbe4207d99e024e3	073fab2c26386e04a156b3b0fac99ff6b7340a152d91fa8f633d712bc4e7b7d4	59145652	14993466	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og	WsfTimerStop	0x0052a4d2	0x0052a4e6	open_cfw_cordio_wsf_timer_stop_candidate	20	20	0	no	no	0b070afa03f10c08ebc73fe14c780a30dd21cfdf6888b6063cd535389a331f8a	bf6cdd76830120910fd3046b8588b3915947f7f500de46a352816ca91bd015ff	59145652	14993466	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og	WsfTimerUpdate	0x0052a4e6	0x0052a51a	open_cfw_cordio_wsf_timer_update_candidate	52	52	0	no	no	f4c256dfe6c3788719d946d00c107e2e66ac846546c14233250a707f52305d87	f931d46b2af74af2ac469d93a3b9f05951cae9b016462fc269cb670dd8c0db34	59145652	14993466	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og	WsfTimerNextExpiration	0x0052a51a	0x0052a542	open_cfw_cordio_wsf_timer_next_expiration_candidate	40	40	0	no	no	b8d2a4a138c95586319bd570cc5f5da7af9efac69146fb918ab37bce1bead6b4	a01e89fb17156e75c7d491fe11b9a228914be11b58e5b1c03180905e8ce9d1e2	59145652	14993466	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og	WsfTimerServiceExpired	0x0052a542	0x0052a574	open_cfw_cordio_wsf_timer_service_expired_candidate	52	50	2	no	no	2ae8d2b6ddc721452e1d1408dcecfb3aae3904aa359650c376f415385507c571	b9027368a871f2bec0f9767127c8e341fd89ffcff28e113fc9dcd00ecd5d7876	59145652	14993466	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og	WsfTimerUpdateTicks	0x0052a574	0x0052a614	open_cfw_cordio_wsf_timer_update_ticks_candidate	116	160	-44	no	no	822773cd282ee12d03cb0fa2a5e1758e43b37f2496e6d9582bc773ea7be4be8d	316d58bb5887283966a9b78d63d392316ead459276d4c8e7311454c26e1d917b	59145652	14993466	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og_nosibling	wsfTimerRemove	0x0052a3fc	0x0052a424	open_cfw_cordio_wsf_timer_remove_candidate	44	40	4	no	no	191a4aaed653e58b27e92f6d63ada1caf5e177d45a01d3b4fb2755360bf66e5b	90316a049dda73454d71b254df8d7abd6c4b1fa210e0e30f0aa2fffcdea5ffa2	59554152	14278629	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og_nosibling	wsfTimerInsert	0x0052a424	0x0052a468	open_cfw_cordio_wsf_timer_insert_candidate	68	68	0	no	no	85fd2b1d36c6f604f3613c9221ae6dfea6336a440609ee0ce5b987c30b562829	4bd8ef903d2fae966e75aa781d49e1d7433c8fe46472c423fc48b00e6feb2167	59554152	14278629	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og_nosibling	WsfTimer_handler	0x0052a468	0x0052a474	open_cfw_cordio_wsf_timer_callback_candidate	12	12	0	no	no	13d4ae6dcb343bee0d867f159133f1bad64ecfa2851a11e90293c8ae6537b06e	c05edc9a70dd097b7813f3c180da301ee54ff9ab10498f27d519624444421a82	59554152	14278629	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og_nosibling	WsfTimerInit	0x0052a474	0x0052a4b8	open_cfw_cordio_wsf_timer_init_candidate	80	68	12	no	no	eb6cfb098951ae75363faaae32e0491c247d7bc50a08926b09fc32f059b7ae49	9d2ab95ab47374752a5e7c2469095da904905afe52fa262162bc4b431d37e4f2	59554152	14278629	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og_nosibling	WsfTimerStartSec	0x0052a4b8	0x0052a4c4	open_cfw_cordio_wsf_timer_start_sec_candidate	14	12	2	no	no	c5e55659783dea8dea1b73b5671fc690f2b750ceb0d52b1148653e79e1a82c25	1eb850231c811eb2229f3782c6f89cf060ff8834de6e624cc20c8bb701ebbca4	59554152	14278629	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og_nosibling	WsfTimerStartMs	0x0052a4c4	0x0052a4d2	open_cfw_cordio_wsf_timer_start_ms_candidate	20	14	6	no	no	eab7daa1ea3e439262893dfc6fe758fa731011822b84b9cefbe4207d99e024e3	073fab2c26386e04a156b3b0fac99ff6b7340a152d91fa8f633d712bc4e7b7d4	59554152	14278629	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og_nosibling	WsfTimerStop	0x0052a4d2	0x0052a4e6	open_cfw_cordio_wsf_timer_stop_candidate	20	20	0	no	no	0b070afa03f10c08ebc73fe14c780a30dd21cfdf6888b6063cd535389a331f8a	bf6cdd76830120910fd3046b8588b3915947f7f500de46a352816ca91bd015ff	59554152	14278629	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og_nosibling	WsfTimerUpdate	0x0052a4e6	0x0052a51a	open_cfw_cordio_wsf_timer_update_candidate	52	52	0	no	no	f4c256dfe6c3788719d946d00c107e2e66ac846546c14233250a707f52305d87	f931d46b2af74af2ac469d93a3b9f05951cae9b016462fc269cb670dd8c0db34	59554152	14278629	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
