config	function	candidate_size	stock_size	size_delta	raw_match	normalized_match	candidate_sha256	normalized_sha256
Og	WsfTimerStop	20	20	0	no	no	0b070afa03f10c08ebc73fe14c780a30dd21cfdf6888b6063cd535389a331f8a	bf6cdd76830120910fd3046b8588b3915947f7f500de46a352816ca91bd015ff
Og	WsfTimerUpdate	52	52	0	no	no	f4c256dfe6c3788719d946d00c107e2e66ac846546c14233250a707f52305d87	f931d46b2af74af2ac469d93a3b9f05951cae9b016462fc269cb670dd8c0db34
Og	WsfTimerNextExpiration	40	40	0	no	no	b8d2a4a138c95586319bd570cc5f5da7af9efac69146fb918ab37bce1bead6b4	a01e89fb17156e75c7d491fe11b9a228914be11b58e5b1c03180905e8ce9d1e2
Og	WsfTimerServiceExpired	52	50	2	no	no	2ae8d2b6ddc721452e1d1408dcecfb3aae3904aa359650c376f415385507c571	b9027368a871f2bec0f9767127c8e341fd89ffcff28e113fc9dcd00ecd5d7876
Og	WsfTimerUpdateTicks	116	160	-44	no	no	822773cd282ee12d03cb0fa2a5e1758e43b37f2496e6d9582bc773ea7be4be8d	316d58bb5887283966a9b78d63d392316ead459276d4c8e7311454c26e1d917b
Og_nosibling	wsfTimerRemove	44	40	4	no	no	191a4aaed653e58b27e92f6d63ada1caf5e177d45a01d3b4fb2755360bf66e5b	90316a049dda73454d71b254df8d7abd6c4b1fa210e0e30f0aa2fffcdea5ffa2
Og_nosibling	wsfTimerInsert	68	68	0	no	no	85fd2b1d36c6f604f3613c9221ae6dfea6336a440609ee0ce5b987c30b562829	4bd8ef903d2fae966e75aa781d49e1d7433c8fe46472c423fc48b00e6feb2167
Og_nosibling	WsfTimer_handler	12	12	0	no	no	13d4ae6dcb343bee0d867f159133f1bad64ecfa2851a11e90293c8ae6537b06e	c05edc9a70dd097b7813f3c180da301ee54ff9ab10498f27d519624444421a82
Og_nosibling	WsfTimerInit	80	68	12	no	no	eb6cfb098951ae75363faaae32e0491c247d7bc50a08926b09fc32f059b7ae49	9d2ab95ab47374752a5e7c2469095da904905afe52fa262162bc4b431d37e4f2
Og_nosibling	WsfTimerStartSec	14	12	2	no	no	c5e55659783dea8dea1b73b5671fc690f2b750ceb0d52b1148653e79e1a82c25	1eb850231c811eb2229f3782c6f89cf060ff8834de6e624cc20c8bb701ebbca4
Og_nosibling	WsfTimerStartMs	20	14	6	no	no	eab7daa1ea3e439262893dfc6fe758fa731011822b84b9cefbe4207d99e024e3	073fab2c26386e04a156b3b0fac99ff6b7340a152d91fa8f633d712bc4e7b7d4
Og_nosibling	WsfTimerStop	20	20	0	no	no	0b070afa03f10c08ebc73fe14c780a30dd21cfdf6888b6063cd535389a331f8a	bf6cdd76830120910fd3046b8588b3915947f7f500de46a352816ca91bd015ff
Og_nosibling	WsfTimerUpdate	52	52	0	no	no	f4c256dfe6c3788719d946d00c107e2e66ac846546c14233250a707f52305d87	f931d46b2af74af2ac469d93a3b9f05951cae9b016462fc269cb670dd8c0db34
Og_nosibling	WsfTimerNextExpiration	40	40	0	no	no	b8d2a4a138c95586319bd570cc5f5da7af9efac69146fb918ab37bce1bead6b4	a01e89fb17156e75c7d491fe11b9a228914be11b58e5b1c03180905e8ce9d1e2
Og_nosibling	WsfTimerServiceExpired	52	50	2	no	no	2ae8d2b6ddc721452e1d1408dcecfb3aae3904aa359650c376f415385507c571	b9027368a871f2bec0f9767127c8e341fd89ffcff28e113fc9dcd00ecd5d7876
Og_nosibling	WsfTimerUpdateTicks	116	160	-44	no	no	822773cd282ee12d03cb0fa2a5e1758e43b37f2496e6d9582bc773ea7be4be8d	316d58bb5887283966a9b78d63d392316ead459276d4c8e7311454c26e1d917b
O2	wsfTimerRemove	52	40	12	no	no	e30201b72da8676ecb9ccd44dad263c36144afedcf01b687954de8fac224bf94	ca331e271fb0edcfce33b310663743318ef548b3af5f393e6d67c7cdfb1d99ab
O2	wsfTimerInsert	124	68	56	no	no	a5f31d6797d69dedfff7a3f9a2b9b3c7f4034278da4d0ec7e0c18c0cc4df4e54	cd45e940b3aa2b5a786e531064ac86da214c6db79f00dec1c0c8d6588eb86f7b
O2	WsfTimer_handler	8	12	-4	no	no	83db05db1abf34eed4f84b1f4afddccb1af5242ca20efd37c6d4bb705258a7ba	1ba9e3669037a0d539873ff4ee5d4aaf32a7ce9848de1d245ae93bacb88f63e9
O2	WsfTimerInit	84	68	16	no	no	977ef1187bfa7abf1bc8c1ace669122fccf7fe885502ee7c5465a5142fd8c71b	c8b4948735b98b80a2adb03ce5cebc9cc95fc10358e6aec7cd38207d3c04e790
O2	WsfTimerStartSec	12	12	0	no	no	5e6572156f4218e73c7cbb5fbf676a4673f332f4b1d2cb4b0f7239a01e205767	7fc51aea97ad07bfd79c9e7c21a6e76a912e04563113306b7b69c73b9629c105
O2	WsfTimerStartMs	16	14	2	no	no	055ffcb8d9d3804731c555f07382199eb662ae261c7cdc6bfafe0613d3005fd0	5c30d8252517b90e26f97a5d72ea70c63e4171530230d5a1adda1811a6e70548
O2	WsfTimerStop	68	20	48	no	no	389ba0d9fbd15b6ac9dff86225cda606e6c81b654b6ce06f0747247ab70022bb	eb898fd12cabd3235ed319bcfd4472072bddfdbe7758b08a54dc877b3230ba0d
O2	WsfTimerUpdate	64	52	12	no	no	ac8a91f7f1ed0e54e862f10116ba0e1fd89013b08890f7e26cd19472d82a4ec3	b932da2a9a7a81fe6d2f175399b19d33a725776eea762295ad2d3416f78657bc
