# Complete seven-slot resample_12k8[] dispatch graph; Thumb bits are retained in physical values
slot	srate	pointer_cell	target	corpus_status	disposition	wave13_additional_function_bytes
0	8K	0x00439680	0x00438D8A	selected-residual	source-attributed-compatible-baseline-research-only	304
1	16K	0x00439684	0x00438400	non-corpus	sha-pinned-bounded-source-compatible-boundary	0
2	24K	0x00439688	0x00438EBA	selected-residual	source-attributed-compatible-baseline-research-only	26
3	32K	0x0043968C	0x00438504	selected-residual	source-attributed-compatible-baseline-research-only	256
4	48K	0x00439690	0x00438604	non-corpus	sha-pinned-bounded-source-compatible-boundary	0
5	48K_HR	0x00439694	0x00438604	non-corpus-shared	sha-pinned-bounded-source-compatible-boundary	0
6	96K_HR	0x00439698	0x00438ED4	selected-residual	source-attributed-compatible-baseline-research-only	26
