eligible_rank	bounded_body_bytes	anchor_count	ownership_boundary	decision	path_run_address	relative_path
	14996	22	ambiq_or_product_application_layer	deprioritize_product_or_app_layer	0x006D84BC	third_party/cordio/ble-profiles/sources/apps/app/common/app_db.c
	6186	11	ambiq_or_product_application_layer	deprioritize_product_or_app_layer	0x006DC694	third_party/cordio/ble-profiles/sources/apps/app/app_disc.c
1	4798	8	public_packetcraft_candidate	eligible_public_upstream	0x006DC934	third_party/cordio/ble-host/sources/stack/att/atts_csf.c
2	4258	10	public_packetcraft_candidate	eligible_public_upstream	0x006DFFB4	third_party/cordio/ble-host/sources/stack/dm/dm_conn.c
3	2688	7	public_packetcraft_candidate	eligible_public_upstream	0x006E19F0	third_party/cordio/ble-host/sources/stack/smp/smp_db.c
	2512	3	ambiq_or_product_application_layer	deprioritize_product_or_app_layer	0x006D86C4	third_party/cordio/ble-profiles/sources/apps/app/common/app_ui.c
	2224	3	ambiq_port	deprioritize_port_specific	0x006E0518	third_party/cordio/ble-host/sources/hci/ambiq/hci_evt.c
4	2154	4	public_packetcraft_candidate	eligible_public_upstream	0x006DC7B4	third_party/cordio/ble-host/sources/stack/att/attc_disc.c
5	1944	5	public_packetcraft_candidate	eligible_public_upstream	0x006DC8D4	third_party/cordio/ble-host/sources/stack/att/atts_ccc.c
	1944	3	ambiq_or_product_application_layer	deprioritize_product_or_app_layer	0x006DA160	third_party/cordio/ble-profiles/sources/apps/app/app_slave.c
6	1914	5	public_packetcraft_candidate	eligible_public_upstream	0x006DD0B4	third_party/cordio/ble-host/sources/stack/dm/dm_adv_leg.c
7	1598	1	public_packetcraft_candidate	eligible_public_upstream	0x006DD114	third_party/cordio/ble-host/sources/stack/dm/dm_conn_sm.c
8	1562	2	public_packetcraft_candidate	eligible_public_upstream	0x006E1994	third_party/cordio/ble-host/sources/stack/smp/smp_act.c
9	1538	4	public_packetcraft_candidate	eligible_public_upstream	0x006DE854	third_party/cordio/ble-host/sources/stack/smp/smp_main.c
	1522	4	ambiq_or_product_application_layer	deprioritize_product_or_app_layer	0x006DA098	third_party/cordio/ble-profiles/sources/apps/app/app_master.c
10	1290	2	public_packetcraft_candidate	eligible_public_upstream	0x006DE8B4	third_party/cordio/ble-host/sources/stack/smp/smp_sc_main.c
11	1194	2	public_packetcraft_candidate	eligible_public_upstream	0x006DC814	third_party/cordio/ble-host/sources/stack/att/attc_main.c
	1008	3	ambiq_or_product_application_layer	deprioritize_product_or_app_layer	0x006DC6F4	third_party/cordio/ble-profiles/sources/apps/app/app_main.c
12	660	1	public_packetcraft_candidate	eligible_public_upstream	0x006DC9F4	third_party/cordio/ble-host/sources/stack/att/atts_main.c
13	552	1	public_packetcraft_candidate	eligible_public_upstream	0x006DCA54	third_party/cordio/ble-host/sources/stack/att/atts_proc.c
14	390	1	public_packetcraft_candidate	eligible_public_upstream	0x006DC994	third_party/cordio/ble-host/sources/stack/att/atts_ind.c
	376	2	ambiq_or_product_application_layer	deprioritize_product_or_app_layer	0x006D85F4	third_party/cordio/ble-profiles/sources/apps/app/app_master_leg.c
15	354	1	public_packetcraft_candidate	eligible_public_upstream	0x006E0010	third_party/cordio/ble-host/sources/stack/dm/dm_dev.c
16	340	1	public_packetcraft_candidate	eligible_public_upstream	0x006DC874	third_party/cordio/ble-host/sources/stack/att/attc_proc.c
17	314	1	public_packetcraft_candidate	eligible_public_upstream	0x006DCAB4	third_party/cordio/ble-host/sources/stack/att/atts_sign.c
	296	1	ambiq_or_product_application_layer	deprioritize_product_or_app_layer	0x006DA0FC	third_party/cordio/ble-profiles/sources/apps/app/app_server.c
18	288	1	public_packetcraft_candidate	eligible_public_upstream	0x006DC754	third_party/cordio/ble-host/sources/stack/att/att_main.c
19	274	1	public_packetcraft_candidate	eligible_public_upstream	0x006DD594	third_party/cordio/ble-host/sources/stack/l2c/l2c_slave.c
	270	1	ambiq_or_product_application_layer	deprioritize_product_or_app_layer	0x006D865C	third_party/cordio/ble-profiles/sources/apps/app/app_slave_leg.c
	154	1	ambiq_port	closed_previous_tranche	0x006DEFD4	third_party/cordio/wsf/sources/port/freertos/wsf_assert.c
	142	1	ambiq_port	closed_previous_tranche	0x006E20C4	third_party/cordio/wsf/sources/port/freertos/wsf_buf.c
	54	1	ambiq_port	closed_previous_tranche	0x006DF094	third_party/cordio/wsf/sources/port/freertos/wsf_trace.c
20	0	0	public_packetcraft_candidate	eligible_public_upstream	0x006DD4D4	third_party/cordio/ble-host/sources/stack/l2c/l2c_main.c
21	0	0	public_packetcraft_candidate	eligible_public_upstream	0x006DD534	third_party/cordio/ble-host/sources/stack/l2c/l2c_master.c
22	0	0	public_packetcraft_candidate	eligible_public_upstream	0x006DE914	third_party/cordio/ble-host/sources/stack/smp/smpr_act.c
	0	0	ambiq_port	closed_previous_tranche	0x006DF034	third_party/cordio/wsf/sources/port/freertos/wsf_timer.c
