source_basename	bytes	sha256	distinct_wsf_efs_apis	api_names
wdxs_ft.c	14579	a015d9b27783fd0da018d6793c4fc5d7b3eaa802946ab67c2768a57ef0e35fc8	8	WsfEfsErase;WsfEfsGet;WsfEfsGetFileMaxSize;WsfEfsGetFilePermissions;WsfEfsGetFileSize;WsfEfsGetFileType;WsfEfsMediaSpecificCommand;WsfEfsPut
wdxs_main.c	16243	f8e7369f0cdddede5b88a2cd7c8f60083d0c9ae2c5e9b5f4298bf0d391000f0a	10	WsfEfsAddFile;WsfEfsGetFileByHandle;WsfEfsGetFileName;WsfEfsGetFilePermissions;WsfEfsGetFileSize;WsfEfsGetFileType;WsfEfsGetFileVersion;WsfEfsInit;WsfEfsPut;WsfEfsRegisterMedia
wdxs_stream.c	7901	0a910eabfbd209d64b0cc388094a4877b0b43f68f15c8b46228be639994ca755	2	WsfEfsAddFile;WsfEfsRegisterMedia
