config	symbol	candidate_size	candidate_sha256	raw_stock_hits	raw_stock_offsets	module_undefined	linked_undefined	container_elapsed_ns
Os_nosibling	WsfEfsGetFileByHandle	32	874692d04422bccff268fcaf4b084fe04503f7e8c931d8a94ed5cfc3ed488adf	0		2	0	1037863891
Os_nosibling	WsfEfsGetFileMaxSize	12	4860e457c17f566efad043f5fe4f39116c04d30e324361197114e2f8d5018199	0		2	0	1037863891
Os_nosibling	WsfEfsGetFileName	24	16ce94011efb49e3d978d28dad5d9e3f8d7006ac0aba40094ecd4424757ac492	0		2	0	1037863891
Os_nosibling	WsfEfsGetFilePermissions	12	4b770fdf8ccdb7ca8337253ff746511f2826eb1192f6393309497c9aa4369bf4	0		2	0	1037863891
Os_nosibling	WsfEfsGetFileSize	12	aa3606e974fc3b3accc394eb85f9257b8794d5f6e26ed6e2dd2d2d45361a5226	0		2	0	1037863891
Os_nosibling	WsfEfsGetFileType	14	27fd38a1b3ecde20bbeef3ffb61aeeb45599bd458cf3de7582d3e601d564cdc8	0		2	0	1037863891
Os_nosibling	WsfEfsGetFileVersion	24	9408d04ee8f36af267b6e252c2d61840ba045dbef03e642d80c034e0bf2498fb	0		2	0	1037863891
Os_nosibling	WsfEfsInit	48	0400724d6742c10ea2e752c380ac6e2875075d417f783cc929de69e1da026205	0		2	0	1037863891
Os_nosibling	WsfEfsMediaSpecificCommand	52	39da0c65695a1a1e7c169964c2dd1156c42d7d626c7bdd0b8974361d594bb10d	0		2	0	1037863891
Os_nosibling	WsfEfsPut	124	b425994497cd1d89bb211ffd1f145085ce5161ca013778d94620634b0309f9d5	0		2	0	1037863891
Os_nosibling	WsfEfsRegisterMedia	32	a5f61f141737f43cde92f224cd76faf5bfb020281567cee52e14cc6b6241a0d4	0		2	0	1037863891
Os_nosibling	WsfEfsRemoveFile	28	50f4eb2f1f2af8a3509777b0770d8a8f647703cce60cac5b443f3c3d96d7f802	0		2	0	1037863891
Os_nosibling	WsfEfsSetAttributes	26	bd0ee9f34357f26e628535c0bed49635e730d27ccba26304043950930c76882b	0		2	0	1037863891
