function	start	end_exclusive	size	sha256	source_line_markers	direct_callee_count	evidence
smpDbAddDevice	0x00541E72	0x00541FB8	326	9b0fb1de560cbdf00cdd0743dfc9c49ef0098913149edc9bedad75e011bac94a	133	8	retained_path_anchor
smpDbGetRecord	0x00541FB8	0x00542284	716	c30bfc998d2d154018f99bf4abdd603e631d8c87c1056a184532cb4a3fcb166f	167,182	11	retained_path_anchor
SmpDbGetPairingDisabledTime	0x005422C4	0x00542418	340	78150cb326603fd44f1abc62b94d872836d47be33cb7ed861dd3d2305fd635ae	228	6	retained_path_anchor
SmpDbSetFailureCount	0x00542418	0x00542570	344	9bf8baf9e6f7f22579d9573254cfb3b002272b3cb40e2251e2f45e595c6cde69	247	6	retained_path_anchor
SmpDbGetFailureCount	0x0054257C	0x005426C0	324	103da856edd34946a156321579273b3edba3b1baa4761978bc6a64e824bd9de8	270	6	retained_path_anchor
SmpDbMaxAttemptReached	0x005426C0	0x0054282A	362	8044e0eb9c12b829b3971389513601525c606146d4174ec22449c8206e565b19	289	7	retained_path_anchor
SmpDbPairingFailed	0x00542838	0x0054294C	276	5fbbc65f4efd1c3410a19038221f6eae68a0dbe281573c6bfc52f1c275df19b7	333	6	retained_path_anchor
