item	sha256	detail
stock_firmware	36c5b0e499a68ac2493a497bdab9740fd3e7027730c26a9094eca47268a27863	base=0x00437FE0; bytes=3523396
64_shard_checksum_manifest	3ff8aa908e5841823df9384cfbffca91d657816274797f332a45ff93a8aa832f	64 logs; 7370 functions
cordio_source_map_json	44781ca612f5da0e7c20e6059b9bbc3f124caf81ea8dbb78619cfe7ca83bf4d8	36 paths; 32 anchored; 114 anchored functions
normalized_cordio_map	772063dc1841dc33523e68ecca9188923e28efd5cbe6db5a22a36979c41b2623	analyzer-pinned
