lane	variant	config	function	start	end	candidate_symbol	evidence	candidate_size	stock_size	size_delta	raw_match	strict_normalized_match	candidate_sha256	stock_sha256	candidate_normalized_sha256	stock_normalized_sha256	compile_ns	link_ns	object_sha256	linked_sha256
archive_notrace__Og_nosibling	archive_notrace	Og_nosibling	WsfBufAlloc	0x00530446	0x005304D4	WsfBufAlloc	retained source-path/line-321 anchor and 24 direct BL callers	72	142	-70	no	no	a16bfabf1127a9f231d21ce0d520d791fd762fadf295602fb8b682e34d455871	307ff7ddc2830031087eff4c703949a9974deb2e81efe9cd4334b06c35d57d48	f27183ba9465107fd2ac0dc4d53bd4b06ec7c2ca26f46f97e4e37b923c8fc099	117076ee53726b6554d0d05c41665a351615d0e744793fa05437f5a45ccb6151	51796168	11115190	0d66fb22db35f208f059e6b9d3f6f13dfb1b88b91729616bf0fa42276b20184f	9edec1352bd84221be4cb987cf0a8567c9a7cadad4bae06e87f014a792c6ff84
archive_notrace__Og_nosibling	archive_notrace	Og_nosibling	WsfBufFree	0x005304D4	0x00530512	WsfBufFree	free-magic/config discriminator and 28 direct BL callers	68	62	6	no	no	7d64423a59cfb7d2ec730b5d30d35e6ed55a30018790ff283215b7191adf4d1f	6148f827458d86f257dc4ac8eab53f4eeb9372912249d1181fc835861b5a058f	4936a419f04f850ce55b8451882f80778f3bd184eb951f1525f2e7eebdf84755	7684f052fad8dc6df2e27944a16ace31d5248164b6492f84b0e99737e7a74764	51796168	11115190	0d66fb22db35f208f059e6b9d3f6f13dfb1b88b91729616bf0fa42276b20184f	9edec1352bd84221be4cb987cf0a8567c9a7cadad4bae06e87f014a792c6ff84
archive_notrace__O2	archive_notrace	O2	WsfBufInit	0x00530364	0x00530446	WsfBufInit	source-order semantics, globals/literals, sole BL caller 0x004B7F7C	196	226	-30	no	no	b955707e4640acaffe4d38e07f4326e1f9b9f0820b05417490a7dfb3255c545d	a12554f557b86906d3442ef2ba4a69d33c433d5e226d5976c1b1767140fc5605	b1bfeb9c70520aaadebf9a4eb06b024a52f12c6d914326ddb1aaddc0c9d23cac	edbff8a0b6e13119e93c7408f42a6d7d186713ec06a3159e678d4b895242be61	78708999	11421808	7f080ff1fbb4c287bc293b2d4f82c2b79a82ed5fdd50bc2f87035527770a46b5	47138b2f05beda03e3817a69d1ec32385b94e4a614a23eb0cc67342174dd6b7d
archive_notrace__O2	archive_notrace	O2	WsfBufAlloc	0x00530446	0x005304D4	WsfBufAlloc	retained source-path/line-321 anchor and 24 direct BL callers	84	142	-58	no	no	63ba0aad5b7a48cd479a98882eef51c891b2414944275b1de45a7a2ec276ef12	307ff7ddc2830031087eff4c703949a9974deb2e81efe9cd4334b06c35d57d48	6a06562557f3b26b62538391519ca2460f5a9b311ed80dc3a3bccf28b70a34f6	117076ee53726b6554d0d05c41665a351615d0e744793fa05437f5a45ccb6151	78708999	11421808	7f080ff1fbb4c287bc293b2d4f82c2b79a82ed5fdd50bc2f87035527770a46b5	47138b2f05beda03e3817a69d1ec32385b94e4a614a23eb0cc67342174dd6b7d
archive_notrace__O2	archive_notrace	O2	WsfBufFree	0x005304D4	0x00530512	WsfBufFree	free-magic/config discriminator and 28 direct BL callers	76	62	14	no	no	27d7aad0a6744df536ed2268375d59bff5fc754faeeb9eea2c890fc99d8741c2	6148f827458d86f257dc4ac8eab53f4eeb9372912249d1181fc835861b5a058f	db007e259af7ac4e343cc575eab7746a53069241413a3ad22aedb591c65d0338	7684f052fad8dc6df2e27944a16ace31d5248164b6492f84b0e99737e7a74764	78708999	11421808	7f080ff1fbb4c287bc293b2d4f82c2b79a82ed5fdd50bc2f87035527770a46b5	47138b2f05beda03e3817a69d1ec32385b94e4a614a23eb0cc67342174dd6b7d
archive_notrace__O2_noinline	archive_notrace	O2_noinline	WsfBufInit	0x00530364	0x00530446	WsfBufInit	source-order semantics, globals/literals, sole BL caller 0x004B7F7C	196	226	-30	no	no	b955707e4640acaffe4d38e07f4326e1f9b9f0820b05417490a7dfb3255c545d	a12554f557b86906d3442ef2ba4a69d33c433d5e226d5976c1b1767140fc5605	b1bfeb9c70520aaadebf9a4eb06b024a52f12c6d914326ddb1aaddc0c9d23cac	edbff8a0b6e13119e93c7408f42a6d7d186713ec06a3159e678d4b895242be61	75468183	9901414	7f080ff1fbb4c287bc293b2d4f82c2b79a82ed5fdd50bc2f87035527770a46b5	47138b2f05beda03e3817a69d1ec32385b94e4a614a23eb0cc67342174dd6b7d
archive_notrace__O2_noinline	archive_notrace	O2_noinline	WsfBufAlloc	0x00530446	0x005304D4	WsfBufAlloc	retained source-path/line-321 anchor and 24 direct BL callers	84	142	-58	no	no	63ba0aad5b7a48cd479a98882eef51c891b2414944275b1de45a7a2ec276ef12	307ff7ddc2830031087eff4c703949a9974deb2e81efe9cd4334b06c35d57d48	6a06562557f3b26b62538391519ca2460f5a9b311ed80dc3a3bccf28b70a34f6	117076ee53726b6554d0d05c41665a351615d0e744793fa05437f5a45ccb6151	75468183	9901414	7f080ff1fbb4c287bc293b2d4f82c2b79a82ed5fdd50bc2f87035527770a46b5	47138b2f05beda03e3817a69d1ec32385b94e4a614a23eb0cc67342174dd6b7d
archive_notrace__O2_noinline	archive_notrace	O2_noinline	WsfBufFree	0x005304D4	0x00530512	WsfBufFree	free-magic/config discriminator and 28 direct BL callers	76	62	14	no	no	27d7aad0a6744df536ed2268375d59bff5fc754faeeb9eea2c890fc99d8741c2	6148f827458d86f257dc4ac8eab53f4eeb9372912249d1181fc835861b5a058f	db007e259af7ac4e343cc575eab7746a53069241413a3ad22aedb591c65d0338	7684f052fad8dc6df2e27944a16ace31d5248164b6492f84b0e99737e7a74764	75468183	9901414	7f080ff1fbb4c287bc293b2d4f82c2b79a82ed5fdd50bc2f87035527770a46b5	47138b2f05beda03e3817a69d1ec32385b94e4a614a23eb0cc67342174dd6b7d
archive_notrace__O3	archive_notrace	O3	WsfBufInit	0x00530364	0x00530446	WsfBufInit	source-order semantics, globals/literals, sole BL caller 0x004B7F7C	216	226	-10	no	no	c881081180b89ecbefcc279f5789f918d83a04028785335612cb1ad0c06d93ad	a12554f557b86906d3442ef2ba4a69d33c433d5e226d5976c1b1767140fc5605	b69b2a9329635e3fc73da0db13ac0b02e0c7612516ce550a5271a24fd53cd595	edbff8a0b6e13119e93c7408f42a6d7d186713ec06a3159e678d4b895242be61	75737041	10161413	bbc7e70bd18f6dd61f4ccd684d2ec492a3508938919494ffad1b6f484e73c0fa	06eaed2bd8414baef6ad56e6e058dcf338030d6899ba7c3ce154024b40f4456d
archive_notrace__O3	archive_notrace	O3	WsfBufAlloc	0x00530446	0x005304D4	WsfBufAlloc	retained source-path/line-321 anchor and 24 direct BL callers	84	142	-58	no	no	63ba0aad5b7a48cd479a98882eef51c891b2414944275b1de45a7a2ec276ef12	307ff7ddc2830031087eff4c703949a9974deb2e81efe9cd4334b06c35d57d48	6a06562557f3b26b62538391519ca2460f5a9b311ed80dc3a3bccf28b70a34f6	117076ee53726b6554d0d05c41665a351615d0e744793fa05437f5a45ccb6151	75737041	10161413	bbc7e70bd18f6dd61f4ccd684d2ec492a3508938919494ffad1b6f484e73c0fa	06eaed2bd8414baef6ad56e6e058dcf338030d6899ba7c3ce154024b40f4456d
