lane	variant	config	symbol	size
archive_notrace__Oz_nosibling	archive_notrace	Oz_nosibling	WsfBufGetNumPool	12
archive_notrace__Oz_nosibling	archive_notrace	Oz_nosibling	WsfBufFree	64
archive_notrace__Oz_nosibling	archive_notrace	Oz_nosibling	WsfBufAlloc	68
archive_notrace__Oz_nosibling	archive_notrace	Oz_nosibling	WsfBufGetPoolStats	68
archive_notrace__Oz_nosibling	archive_notrace	Oz_nosibling	WsfBufInit	164
stock_warn_seam__O0	stock_warn_seam	O0	WsfBufGetAllocStats	6
stock_warn_seam__O0	stock_warn_seam	O0	WsfBufDiagRegister	10
stock_warn_seam__O0	stock_warn_seam	O0	WsfBufGetNumPool	12
stock_warn_seam__O0	stock_warn_seam	O0	WsfBufFree	112
stock_warn_seam__O0	stock_warn_seam	O0	WsfBufGetPoolStats	128
stock_warn_seam__O0	stock_warn_seam	O0	WsfBufAlloc	168
stock_warn_seam__O0	stock_warn_seam	O0	WsfBufInit	364
stock_warn_seam__O1	stock_warn_seam	O1	WsfBufDiagRegister	2
stock_warn_seam__O1	stock_warn_seam	O1	WsfBufGetAllocStats	4
stock_warn_seam__O1	stock_warn_seam	O1	WsfBufGetNumPool	12
stock_warn_seam__O1	stock_warn_seam	O1	WsfBufGetPoolStats	68
stock_warn_seam__O1	stock_warn_seam	O1	WsfBufFree	72
stock_warn_seam__O1	stock_warn_seam	O1	WsfBufAlloc	124
stock_warn_seam__O1	stock_warn_seam	O1	WsfBufInit	236
stock_warn_seam__Og	stock_warn_seam	Og	WsfBufDiagRegister	2
stock_warn_seam__Og	stock_warn_seam	Og	WsfBufGetAllocStats	4
stock_warn_seam__Og	stock_warn_seam	Og	WsfBufGetNumPool	12
stock_warn_seam__Og	stock_warn_seam	Og	WsfBufFree	68
stock_warn_seam__Og	stock_warn_seam	Og	WsfBufGetPoolStats	68
stock_warn_seam__Og	stock_warn_seam	Og	WsfBufAlloc	116
stock_warn_seam__Og	stock_warn_seam	Og	WsfBufInit	184
stock_warn_seam__Og_nosibling	stock_warn_seam	Og_nosibling	WsfBufDiagRegister	2
stock_warn_seam__Og_nosibling	stock_warn_seam	Og_nosibling	WsfBufGetAllocStats	4
stock_warn_seam__Og_nosibling	stock_warn_seam	Og_nosibling	WsfBufGetNumPool	12
stock_warn_seam__Og_nosibling	stock_warn_seam	Og_nosibling	WsfBufFree	68
