# Complete out-of-envelope direct-DAT and census-gap partition; zero function-opacity bytes
start	end_exclusive	size	bytes_hex	sha256	data_addresses	kind	consumers	wave10_additional_function_bytes
0x0051B8EA	0x0051B8F0	6	000000003443	ddb3603acdcf098ea7bf86c995adfb80dcf58626a73fbd1d64b37fefa83998cf	0x0051B8EC	thumb-zero-padding-plus-angle-step-float-180	0x0051B140	0
0x0051BF74	0x0051BF78	4	044f0720	48b4654f2567d2b59ecbe37e6f96190282388ca5bbd42e18a0f7bae12fc58b2d	0x0051BF74	shared-command-context-pointer-0x20074f04	0x0051B140,0x0051B8F0	0
