profile	stub_compile_seconds	link_seconds	module_object_sha256	stub_object_sha256	closure_elf_sha256	linked_undefined	retained_text	retained_data	retained_bss	entry	gc_sections
Os	0.70	0.66	7f93c5ee174e9be0769399d72df99dd4a1b1a44f02dae61e68b29be7a6737a4c	6e6f562baee03e357e4ff92a08132637ff3a70153ebf282ff7c475d74e608114	ce71e6da633df8c0dde1fdf05d62084bf5452698227432c7a6360b0036d610c7	0	206	0	4096	opencfw_closure_entry->DmConnOpen(0,1,0,NULL)	disabled
O1	0.74	0.69	18dfc211ee9c39ef140e23bd0f00cf2c6e51717d3f9d3fe2d47f1862721ebe32	6e6f562baee03e357e4ff92a08132637ff3a70153ebf282ff7c475d74e608114	c179d62a73a488fee081e35647bfcd482db2f64e678d39d49a55cc179d32b64b	0	206	0	4096	opencfw_closure_entry->DmConnOpen(0,1,0,NULL)	disabled
