# Direct data cells outside the official root envelope
start	end_exclusive	size	bytes_hex	sha256	data_address	kind	consumers	prior_owner	wave15_additional_function_bytes
0x0051BF74	0x0051BF78	4	044f0720	48b4654f2567d2b59ecbe37e6f96190282388ca5bbd42e18a0f7bae12fc58b2d	0x0051BF74	shared-command-context-pointer-0x20074f04	0x0051B140,0x0051B8F0	apollo-opacity-wave10	0
0x0051BF78	0x0051BF7C	4	00003443	21b9ff9cf99927e92d16d0fcc3190c14680a24c02dad89f9777d5107fdeb5db1	0x0051BF78	post-envelope-angle-step-float-180	0x0051B8F0,0x0051BF7C	none	0
