stock_name	start	end	candidate_symbol	evidence
WStrReverseCpy	0x0056D8C4	0x0056D8F0	WStrReverseCpy	39 direct BL callers; no stored pointers; exact public/Ambiq function body
WStrReverse	0x0056D8F0	0x0056D93A	WStrReverse	2 direct BL callers; no stored pointers; contiguous source-order successor; exact public/Ambiq function body
