function	start	end	stock_size	stock_sha256	stock_normalized_sha256	evidence
WStrReverseCpy	0x0056D8C4	0x0056D8F0	44	249d9f2b812108c61c554f67936ae7cd01ac1029b475f21deb49f55cf27e6b94	eef773e81ce8b5fac3eea8a27084049077c1b464ccf1279861c6e3f6e11673bf	39 direct BL callers; no stored pointers; exact public/Ambiq function body
WStrReverse	0x0056D8F0	0x0056D93A	74	dd319dbd967e39a1da26a2e1393cc42aed30fcc0a96b4e43c326490b801e20a7	7750b3e05e62a00b3ca54e885f1d71a26f4913cb4afbe374e6fa61af39a75fa5	2 direct BL callers; no stored pointers; contiguous source-order successor; exact public/Ambiq function body
