function	stock_size	best_abs_delta	best_rows
WStrReverseCpy	44	6	ambiq_exact__O1:38(-6),ambiq_exact__Og:38(-6),ambiq_exact__Og_nosibling:38(-6)
WStrReverse	74	4	ambiq_exact__O1:70(-4)
