lane	config	function	start	end	candidate_symbol	evidence	candidate_size	stock_size	size_delta	raw_match	strict_normalized_match	candidate_sha256	stock_sha256	candidate_normalized_sha256	stock_normalized_sha256	compile_ns	link_ns	object_sha256	linked_sha256
ambiq_exact__O2_noinline	O2_noinline	WStrReverseCpy	0x0056D8C4	0x0056D8F0	WStrReverseCpy	39 direct BL callers; no stored pointers; exact public/Ambiq function body	36	44	-8	no	no	3269ea0eadbcbfbccf3a7215b40fb7442defced077181efeb3a9a6f21bae314e	249d9f2b812108c61c554f67936ae7cd01ac1029b475f21deb49f55cf27e6b94	67f3914213d34a2c5500ae5dd85bd3b8b35650cf399f2d84b79bb406623f4fe6	eef773e81ce8b5fac3eea8a27084049077c1b464ccf1279861c6e3f6e11673bf	78135132	13472971	f39b0bb2c80e53ed4879e1121b455fc6c6667772475c0e72aff1a9f88a355cdd	0b72371d35e16ff6b298348c2be8d936a73fba60803b38a7cf999cd55deccd37
ambiq_exact__O2_noinline	O2_noinline	WStrReverse	0x0056D8F0	0x0056D93A	WStrReverse	2 direct BL callers; no stored pointers; contiguous source-order successor; exact public/Ambiq function body	36	74	-38	no	no	5d17173383283ab5fb54c766267f9db3605615c5fb71fc17e87995087d8058bf	dd319dbd967e39a1da26a2e1393cc42aed30fcc0a96b4e43c326490b801e20a7	bf3999c1173b78a3f628354b2e21920f152b91ce13b1839e15b40017b9eb9874	7750b3e05e62a00b3ca54e885f1d71a26f4913cb4afbe374e6fa61af39a75fa5	78135132	13472971	f39b0bb2c80e53ed4879e1121b455fc6c6667772475c0e72aff1a9f88a355cdd	0b72371d35e16ff6b298348c2be8d936a73fba60803b38a7cf999cd55deccd37
ambiq_exact__O3	O3	WStrReverseCpy	0x0056D8C4	0x0056D8F0	WStrReverseCpy	39 direct BL callers; no stored pointers; exact public/Ambiq function body	36	44	-8	no	no	3269ea0eadbcbfbccf3a7215b40fb7442defced077181efeb3a9a6f21bae314e	249d9f2b812108c61c554f67936ae7cd01ac1029b475f21deb49f55cf27e6b94	67f3914213d34a2c5500ae5dd85bd3b8b35650cf399f2d84b79bb406623f4fe6	eef773e81ce8b5fac3eea8a27084049077c1b464ccf1279861c6e3f6e11673bf	76970569	13770201	f39b0bb2c80e53ed4879e1121b455fc6c6667772475c0e72aff1a9f88a355cdd	0b72371d35e16ff6b298348c2be8d936a73fba60803b38a7cf999cd55deccd37
ambiq_exact__O3	O3	WStrReverse	0x0056D8F0	0x0056D93A	WStrReverse	2 direct BL callers; no stored pointers; contiguous source-order successor; exact public/Ambiq function body	36	74	-38	no	no	5d17173383283ab5fb54c766267f9db3605615c5fb71fc17e87995087d8058bf	dd319dbd967e39a1da26a2e1393cc42aed30fcc0a96b4e43c326490b801e20a7	bf3999c1173b78a3f628354b2e21920f152b91ce13b1839e15b40017b9eb9874	7750b3e05e62a00b3ca54e885f1d71a26f4913cb4afbe374e6fa61af39a75fa5	76970569	13770201	f39b0bb2c80e53ed4879e1121b455fc6c6667772475c0e72aff1a9f88a355cdd	0b72371d35e16ff6b298348c2be8d936a73fba60803b38a7cf999cd55deccd37
ambiq_exact__O3_noinline	O3_noinline	WStrReverseCpy	0x0056D8C4	0x0056D8F0	WStrReverseCpy	39 direct BL callers; no stored pointers; exact public/Ambiq function body	36	44	-8	no	no	3269ea0eadbcbfbccf3a7215b40fb7442defced077181efeb3a9a6f21bae314e	249d9f2b812108c61c554f67936ae7cd01ac1029b475f21deb49f55cf27e6b94	67f3914213d34a2c5500ae5dd85bd3b8b35650cf399f2d84b79bb406623f4fe6	eef773e81ce8b5fac3eea8a27084049077c1b464ccf1279861c6e3f6e11673bf	76086083	13928709	f39b0bb2c80e53ed4879e1121b455fc6c6667772475c0e72aff1a9f88a355cdd	0b72371d35e16ff6b298348c2be8d936a73fba60803b38a7cf999cd55deccd37
ambiq_exact__O3_noinline	O3_noinline	WStrReverse	0x0056D8F0	0x0056D93A	WStrReverse	2 direct BL callers; no stored pointers; contiguous source-order successor; exact public/Ambiq function body	36	74	-38	no	no	5d17173383283ab5fb54c766267f9db3605615c5fb71fc17e87995087d8058bf	dd319dbd967e39a1da26a2e1393cc42aed30fcc0a96b4e43c326490b801e20a7	bf3999c1173b78a3f628354b2e21920f152b91ce13b1839e15b40017b9eb9874	7750b3e05e62a00b3ca54e885f1d71a26f4913cb4afbe374e6fa61af39a75fa5	76086083	13928709	f39b0bb2c80e53ed4879e1121b455fc6c6667772475c0e72aff1a9f88a355cdd	0b72371d35e16ff6b298348c2be8d936a73fba60803b38a7cf999cd55deccd37
ambiq_exact__Os	Os	WStrReverseCpy	0x0056D8C4	0x0056D8F0	WStrReverseCpy	39 direct BL callers; no stored pointers; exact public/Ambiq function body	26	44	-18	no	no	4dc8081774b1440b7fb135c83456694a8bd50e282fee85a7fc26268fd4e5cdce	249d9f2b812108c61c554f67936ae7cd01ac1029b475f21deb49f55cf27e6b94	ceefffb1a2ffcf133664cf2ba101986424007a03a1be61fe283c0d0354c048e7	eef773e81ce8b5fac3eea8a27084049077c1b464ccf1279861c6e3f6e11673bf	74585276	13859839	c3f3bae9983b8417e2fe5aa603b83daab68c519481bd944a8694f55434d4f5b3	fa1ab03386f75a28a1b8b7d9749235b5d789ab74e5f3f4f74778a9361683dbb4
ambiq_exact__Os	Os	WStrReverse	0x0056D8F0	0x0056D93A	WStrReverse	2 direct BL callers; no stored pointers; contiguous source-order successor; exact public/Ambiq function body	28	74	-46	no	no	de80f559489a5fe40c67f935dae49a2b60db817bd423dc640ceaba07547cd6be	dd319dbd967e39a1da26a2e1393cc42aed30fcc0a96b4e43c326490b801e20a7	3c5dcb1279bbd32a112108d14ecb81062cf669d66a2c5ef64e046cb1f76b31e9	7750b3e05e62a00b3ca54e885f1d71a26f4913cb4afbe374e6fa61af39a75fa5	74585276	13859839	c3f3bae9983b8417e2fe5aa603b83daab68c519481bd944a8694f55434d4f5b3	fa1ab03386f75a28a1b8b7d9749235b5d789ab74e5f3f4f74778a9361683dbb4
ambiq_exact__Os_noinline	Os_noinline	WStrReverseCpy	0x0056D8C4	0x0056D8F0	WStrReverseCpy	39 direct BL callers; no stored pointers; exact public/Ambiq function body	26	44	-18	no	no	4dc8081774b1440b7fb135c83456694a8bd50e282fee85a7fc26268fd4e5cdce	249d9f2b812108c61c554f67936ae7cd01ac1029b475f21deb49f55cf27e6b94	ceefffb1a2ffcf133664cf2ba101986424007a03a1be61fe283c0d0354c048e7	eef773e81ce8b5fac3eea8a27084049077c1b464ccf1279861c6e3f6e11673bf	74831720	14884068	c3f3bae9983b8417e2fe5aa603b83daab68c519481bd944a8694f55434d4f5b3	fa1ab03386f75a28a1b8b7d9749235b5d789ab74e5f3f4f74778a9361683dbb4
ambiq_exact__Os_noinline	Os_noinline	WStrReverse	0x0056D8F0	0x0056D93A	WStrReverse	2 direct BL callers; no stored pointers; contiguous source-order successor; exact public/Ambiq function body	28	74	-46	no	no	de80f559489a5fe40c67f935dae49a2b60db817bd423dc640ceaba07547cd6be	dd319dbd967e39a1da26a2e1393cc42aed30fcc0a96b4e43c326490b801e20a7	3c5dcb1279bbd32a112108d14ecb81062cf669d66a2c5ef64e046cb1f76b31e9	7750b3e05e62a00b3ca54e885f1d71a26f4913cb4afbe374e6fa61af39a75fa5	74831720	14884068	c3f3bae9983b8417e2fe5aa603b83daab68c519481bd944a8694f55434d4f5b3	fa1ab03386f75a28a1b8b7d9749235b5d789ab74e5f3f4f74778a9361683dbb4
ambiq_exact__Os_nosibling	Os_nosibling	WStrReverseCpy	0x0056D8C4	0x0056D8F0	WStrReverseCpy	39 direct BL callers; no stored pointers; exact public/Ambiq function body	26	44	-18	no	no	4dc8081774b1440b7fb135c83456694a8bd50e282fee85a7fc26268fd4e5cdce	249d9f2b812108c61c554f67936ae7cd01ac1029b475f21deb49f55cf27e6b94	ceefffb1a2ffcf133664cf2ba101986424007a03a1be61fe283c0d0354c048e7	eef773e81ce8b5fac3eea8a27084049077c1b464ccf1279861c6e3f6e11673bf	77369741	15443443	c3f3bae9983b8417e2fe5aa603b83daab68c519481bd944a8694f55434d4f5b3	fde98d15c1b01050c2b7f0a285d7c11d1d6de691abe2e6701045c8cf09ee61d5
ambiq_exact__Os_nosibling	Os_nosibling	WStrReverse	0x0056D8F0	0x0056D93A	WStrReverse	2 direct BL callers; no stored pointers; contiguous source-order successor; exact public/Ambiq function body	28	74	-46	no	no	de80f559489a5fe40c67f935dae49a2b60db817bd423dc640ceaba07547cd6be	dd319dbd967e39a1da26a2e1393cc42aed30fcc0a96b4e43c326490b801e20a7	3c5dcb1279bbd32a112108d14ecb81062cf669d66a2c5ef64e046cb1f76b31e9	7750b3e05e62a00b3ca54e885f1d71a26f4913cb4afbe374e6fa61af39a75fa5	77369741	15443443	c3f3bae9983b8417e2fe5aa603b83daab68c519481bd944a8694f55434d4f5b3	fde98d15c1b01050c2b7f0a285d7c11d1d6de691abe2e6701045c8cf09ee61d5
ambiq_exact__Oz	Oz	WStrReverseCpy	0x0056D8C4	0x0056D8F0	WStrReverseCpy	39 direct BL callers; no stored pointers; exact public/Ambiq function body	26	44	-18	no	no	4dc8081774b1440b7fb135c83456694a8bd50e282fee85a7fc26268fd4e5cdce	249d9f2b812108c61c554f67936ae7cd01ac1029b475f21deb49f55cf27e6b94	ceefffb1a2ffcf133664cf2ba101986424007a03a1be61fe283c0d0354c048e7	eef773e81ce8b5fac3eea8a27084049077c1b464ccf1279861c6e3f6e11673bf	80150309	15582825	c3f3bae9983b8417e2fe5aa603b83daab68c519481bd944a8694f55434d4f5b3	fa1ab03386f75a28a1b8b7d9749235b5d789ab74e5f3f4f74778a9361683dbb4
ambiq_exact__Oz	Oz	WStrReverse	0x0056D8F0	0x0056D93A	WStrReverse	2 direct BL callers; no stored pointers; contiguous source-order successor; exact public/Ambiq function body	28	74	-46	no	no	de80f559489a5fe40c67f935dae49a2b60db817bd423dc640ceaba07547cd6be	dd319dbd967e39a1da26a2e1393cc42aed30fcc0a96b4e43c326490b801e20a7	3c5dcb1279bbd32a112108d14ecb81062cf669d66a2c5ef64e046cb1f76b31e9	7750b3e05e62a00b3ca54e885f1d71a26f4913cb4afbe374e6fa61af39a75fa5	80150309	15582825	c3f3bae9983b8417e2fe5aa603b83daab68c519481bd944a8694f55434d4f5b3	fa1ab03386f75a28a1b8b7d9749235b5d789ab74e5f3f4f74778a9361683dbb4
ambiq_exact__Oz_nosibling	Oz_nosibling	WStrReverseCpy	0x0056D8C4	0x0056D8F0	WStrReverseCpy	39 direct BL callers; no stored pointers; exact public/Ambiq function body	26	44	-18	no	no	4dc8081774b1440b7fb135c83456694a8bd50e282fee85a7fc26268fd4e5cdce	249d9f2b812108c61c554f67936ae7cd01ac1029b475f21deb49f55cf27e6b94	ceefffb1a2ffcf133664cf2ba101986424007a03a1be61fe283c0d0354c048e7	eef773e81ce8b5fac3eea8a27084049077c1b464ccf1279861c6e3f6e11673bf	78462790	15045393	c3f3bae9983b8417e2fe5aa603b83daab68c519481bd944a8694f55434d4f5b3	fde98d15c1b01050c2b7f0a285d7c11d1d6de691abe2e6701045c8cf09ee61d5
ambiq_exact__Oz_nosibling	Oz_nosibling	WStrReverse	0x0056D8F0	0x0056D93A	WStrReverse	2 direct BL callers; no stored pointers; contiguous source-order successor; exact public/Ambiq function body	28	74	-46	no	no	de80f559489a5fe40c67f935dae49a2b60db817bd423dc640ceaba07547cd6be	dd319dbd967e39a1da26a2e1393cc42aed30fcc0a96b4e43c326490b801e20a7	3c5dcb1279bbd32a112108d14ecb81062cf669d66a2c5ef64e046cb1f76b31e9	7750b3e05e62a00b3ca54e885f1d71a26f4913cb4afbe374e6fa61af39a75fa5	78462790	15045393	c3f3bae9983b8417e2fe5aa603b83daab68c519481bd944a8694f55434d4f5b3	fde98d15c1b01050c2b7f0a285d7c11d1d6de691abe2e6701045c8cf09ee61d5
